,gold_spot_price,central_bank_gold_purchase_index,geopolitical_risk_index,lockin_cost_600547,lockin_cost_600489
2025-07-24,7.42,100.0,50.0,100.0,100.0
2025-07-25,7.41,99.86522911051213,50.16857720836141,100.0,100.0
2025-07-28,7.39,99.59568733153638,50.562556255625566,100.0,100.0
2025-07-29,7.36,99.19137466307278,51.18323191345501,100.0,100.0
2025-07-30,7.38,99.46091644204851,50.40584415584416,100.0,100.0
2025-07-31,7.35,99.05660377358491,51.184834123222785,100.0,100.0
2025-08-01,7.35,99.05660377358491,51.01626016260165,100.0,100.0
2025-08-04,7.45,100.40431266846362,52.0724073760785,100.0,100.0
2025-08-05,7.46,100.53908355795149,52.1406038756197,100.0,100.0
2025-08-06,7.47,100.67385444743935,52.22852512155591,100.0,100.0
2025-08-07,7.48,100.80862533692722,52.33071638861632,100.0,100.0
2025-08-08,7.51,101.21293800539084,53.060766033921134,100.0,100.0
2025-08-11,7.43,100.13477088948788,50.3369272237197,100.0,100.0
2025-08-12,7.4,99.73045822102426,50.62584248026187,100.0,100.0
2025-08-13,7.42,100.0,50.0449317038102,100.0,100.0
2025-08-14,7.42,100.0,50.04212299915751,100.0,100.0
2025-08-15,7.4,99.73045822102426,50.594766058683554,100.0,100.0
2025-08-18,7.41,99.86522911051213,50.243427458617305,100.0,100.0
2025-08-19,7.39,99.59568733153638,50.86941092973744,100.0,100.0
2025-08-20,7.37,99.32614555256065,51.46691845956703,100.0,100.0
2025-08-21,7.39,99.59568733153638,50.74203993524019,100.0,100.0
2025-08-22,7.38,99.46091644204851,51.02894541528909,100.0,100.0
2025-08-25,7.43,100.13477088948788,50.59021922428332,100.0,100.0
2025-08-26,7.45,100.40431266846362,51.112309559121,100.0,100.0
2025-08-27,7.45,100.40431266846362,50.99386833771309,100.0,100.0
2025-08-28,7.47,100.67385444743935,51.464350636235125,100.0,100.0
2025-08-29,7.49,100.9433962264151,51.90018161027778,100.0,100.0
2025-09-01,7.65,103.09973045822103,56.935581379727275,100.0,100.0
2025-09-02,7.67,103.36927223719677,57.244432519452616,100.0,100.0
2025-09-03,7.77,104.71698113207546,60.07497656982193,100.0,100.0
2025-09-04,7.75,104.44743935309972,58.93752088205818,100.0,100.0
2025-09-05,7.78,104.85175202156334,59.4717182497332,100.0,100.0
2025-09-08,7.85,105.79514824797845,61.07489690035918,100.0,100.0
2025-09-09,7.97,107.41239892183287,64.06467430919089,100.0,100.0
2025-09-10,7.95,107.14285714285714,62.480190174326445,100.0,100.0
2025-09-11,7.92,106.73854447439352,60.62919573515863,100.0,100.0
2025-09-12,7.95,107.14285714285714,60.6728310053118,100.0,100.0
2025-09-15,7.93,106.8733153638814,59.13338997451141,100.0,100.0
2025-09-16,8.03,108.2210242587601,61.30816791409045,100.0,100.0
2025-09-17,7.96,107.27762803234502,58.039419087136956,100.0,100.0
2025-09-18,7.86,105.92991913746633,54.023657165018456,100.0,100.0
2025-09-19,7.9,106.46900269541779,54.46112220575917,100.0,100.0
2025-09-22,8.05,108.49056603773586,58.26114854026311,100.0,100.0
2025-09-23,8.14,109.7035040431267,59.99744474255782,100.0,100.0
2025-09-24,8.19,110.37735849056602,60.36368260427262,100.0,100.0
2025-09-25,8.15,109.83827493261455,57.97670296277536,100.0,100.0
2025-09-26,8.16,109.97304582210243,57.20229464792283,100.0,100.0
2025-09-29,8.26,111.32075471698113,59.35694549108263,100.0,100.0
2025-09-30,8.34,112.39892183288408,60.771684072290675,100.0,100.0
2025-10-09,8.73,117.65498652291106,71.3371044943122,100.0,100.0
2025-10-10,8.6,115.90296495956873,65.89166460549096,100.0,100.0
2025-10-13,8.86,119.40700808625336,72.11302211302208,100.0,100.0
2025-10-14,8.98,121.02425876010783,73.89739522967128,100.0,100.0
2025-10-15,9.19,123.8544474393531,78.23191038449896,100.0,100.0
2025-10-16,9.24,124.52830188679245,77.57750540735404,100.0,100.0
2025-10-17,9.57,128.9757412398922,84.66892736034266,100.0,100.0
2025-10-20,9.27,124.93261455525607,73.59659996458296,100.0,100.0
2025-10-21,9.49,127.89757412398923,77.53407030473181,100.0,100.0
2025-10-22,9.1,122.64150943396226,64.47337828411993,100.0,100.0
2025-10-23,8.99,121.15902964959568,59.72149997110999,100.0,100.0
2025-10-24,8.95,120.6199460916442,56.94763435920992,100.0,100.0
2025-10-27,8.91,120.08086253369272,54.32437061140606,100.0,100.0
2025-10-28,8.6,115.90296495956873,55.292510812656495,100.0,100.0
2025-10-29,8.69,117.11590296495957,53.50314857888468,100.0,100.0
2025-10-30,8.7,117.25067385444743,53.93144020816838,100.0,100.0
2025-10-31,8.79,118.46361185983827,52.282718971931,100.0,100.0
2025-11-03,8.8,118.59838274932615,52.89228349994383,100.0,100.0
2025-11-04,8.74,117.78975741239893,55.23692169821888,100.0,100.0
2025-11-05,8.71,117.38544474393532,56.5815214353585,100.0,100.0
2025-11-06,8.76,118.05929919137466,55.22521515591817,100.0,100.0
2025-11-07,8.79,118.46361185983827,54.64746273656005,100.0,100.0
2025-11-10,8.94,120.48517520215634,50.57195469002846,100.0,100.0
2025-11-11,9.06,122.10242587601078,52.66328294941154,100.0,100.0
2025-11-12,9.03,121.69811320754715,52.051582649472415,100.0,100.0
2025-11-13,9.18,123.71967654986523,56.324342435918894,100.0,100.0
2025-11-14,9.1,122.64150943396226,54.759238521836515,100.0,100.0
