date,dxi_spot_price,korea_customs_yoy,lockin_cost_001309,lockin_cost_301308,lockin_cost_688525,lockin_cost_300475,lockin_cost_688008
2025-06-09,115.65,25.0,85.0,68.0,92.0,28.0,55.0
2025-06-10,115.47,25.15,85.0,68.0,92.0,28.0,55.0
2025-06-11,115.42,25.3,85.0,68.0,92.0,28.0,55.0
2025-06-12,115.37,25.45,85.0,68.0,92.0,28.0,55.0
2025-06-13,115.3,25.6,85.0,68.0,92.0,28.0,55.0
2025-06-16,115.19,25.75,85.0,68.0,92.0,28.0,55.0
2025-06-17,115.25,25.91,85.0,68.0,92.0,28.0,55.0
2025-06-18,115.37,26.06,85.0,68.0,92.0,28.0,55.0
2025-06-19,115.5,26.21,85.0,68.0,92.0,28.0,55.0
2025-06-20,115.64,26.36,85.0,68.0,92.0,28.0,55.0
2025-06-23,115.81,26.51,85.0,68.0,92.0,28.0,55.0
2025-06-24,115.93,26.66,85.0,68.0,92.0,28.0,55.0
2025-06-25,116.02,26.81,85.0,68.0,92.0,28.0,55.0
2025-06-26,116.11,26.96,85.0,68.0,92.0,28.0,55.0
2025-06-27,116.27,27.11,85.0,68.0,92.0,28.0,55.0
2025-06-30,116.38,27.26,85.0,68.0,92.0,28.0,55.0
2025-07-01,116.46,27.41,85.0,68.0,92.0,28.0,55.0
2025-07-02,116.44,27.56,85.0,68.0,92.0,28.0,55.0
2025-07-03,116.46,27.72,85.0,68.0,92.0,28.0,55.0
2025-07-04,116.38,27.87,85.0,68.0,92.0,28.0,55.0
2025-07-07,116.28,28.02,85.0,68.0,92.0,28.0,55.0
2025-07-08,116.2,28.17,85.0,68.0,92.0,28.0,55.0
2025-07-09,116.17,28.32,85.0,68.0,92.0,28.0,55.0
2025-07-10,116.15,28.47,85.0,68.0,92.0,28.0,55.0
2025-07-11,116.21,28.62,85.0,68.0,92.0,28.0,55.0
2025-07-14,116.27,28.77,85.0,68.0,92.0,28.0,55.0
2025-07-15,116.24,28.92,85.0,68.0,92.0,28.0,55.0
2025-07-16,116.22,29.07,85.0,68.0,92.0,28.0,55.0
2025-07-17,116.19,29.22,85.0,68.0,92.0,28.0,55.0
2025-07-18,116.07,29.37,85.0,68.0,92.0,28.0,55.0
2025-07-21,115.99,29.53,85.0,68.0,92.0,28.0,55.0
2025-07-22,115.93,29.68,85.0,68.0,92.0,28.0,55.0
2025-07-23,115.9,29.83,85.0,68.0,92.0,28.0,55.0
2025-07-24,115.89,29.98,85.0,68.0,92.0,28.0,55.0
2025-07-25,115.94,30.13,85.0,68.0,92.0,28.0,55.0
2025-07-28,115.96,30.28,85.0,68.0,92.0,28.0,55.0
2025-07-29,116.04,30.43,85.0,68.0,92.0,28.0,55.0
2025-07-30,116.11,30.58,85.0,68.0,92.0,28.0,55.0
2025-07-31,116.08,30.73,85.0,68.0,92.0,28.0,55.0
2025-08-01,116.04,30.88,85.0,68.0,92.0,28.0,55.0
2025-08-04,116.01,31.03,85.0,68.0,92.0,28.0,55.0
2025-08-05,115.92,31.18,85.0,68.0,92.0,28.0,55.0
2025-08-06,115.89,31.34,85.0,68.0,92.0,28.0,55.0
2025-08-07,115.94,31.49,85.0,68.0,92.0,28.0,55.0
2025-08-08,115.92,31.64,85.0,68.0,92.0,28.0,55.0
2025-08-11,115.99,31.79,85.0,68.0,92.0,28.0,55.0
2025-08-12,116.1,31.94,85.0,68.0,92.0,28.0,55.0
2025-08-13,116.18,32.09,85.0,68.0,92.0,28.0,55.0
2025-08-14,116.14,32.24,85.0,68.0,92.0,28.0,55.0
2025-08-15,116.25,32.39,85.0,68.0,92.0,28.0,55.0
2025-08-18,116.31,32.54,85.0,68.0,92.0,28.0,55.0
2025-08-19,116.35,32.69,85.0,68.0,92.0,28.0,55.0
2025-08-20,116.39,32.84,85.0,68.0,92.0,28.0,55.0
2025-08-21,116.5,32.99,85.0,68.0,92.0,28.0,55.0
2025-08-22,116.65,33.15,85.0,68.0,92.0,28.0,55.0
2025-08-25,116.73,33.3,85.0,68.0,92.0,28.0,55.0
2025-08-26,116.82,33.45,85.0,68.0,92.0,28.0,55.0
2025-08-27,116.92,33.6,85.0,68.0,92.0,28.0,55.0
2025-08-28,117.09,33.75,85.0,68.0,92.0,28.0,55.0
2025-08-29,117.09,33.9,85.0,68.0,92.0,28.0,55.0
2025-09-01,117.19,34.05,85.0,68.0,92.0,28.0,55.0
2025-09-02,117.15,34.2,85.0,68.0,92.0,28.0,55.0
2025-09-03,117.05,34.35,85.0,68.0,92.0,28.0,55.0
2025-09-04,116.74,34.5,85.0,68.0,92.0,28.0,55.0
2025-09-05,116.78,34.65,85.0,68.0,92.0,28.0,55.0
2025-09-08,116.74,34.8,85.0,68.0,92.0,28.0,55.0
2025-09-09,116.72,34.96,85.0,68.0,92.0,28.0,55.0
2025-09-10,116.75,35.11,85.0,68.0,92.0,28.0,55.0
2025-09-11,117.14,35.26,85.0,68.0,92.0,28.0,55.0
2025-09-12,117.43,35.41,85.0,68.0,92.0,28.0,55.0
2025-09-15,117.68,35.56,85.0,68.0,92.0,28.0,55.0
2025-09-16,118.06,35.71,85.0,68.0,92.0,28.0,55.0
2025-09-17,118.44,35.86,85.0,68.0,92.0,28.0,55.0
2025-09-18,118.53,36.01,85.0,68.0,92.0,28.0,55.0
2025-09-19,118.52,36.16,85.0,68.0,92.0,28.0,55.0
2025-09-22,118.69,36.31,85.0,68.0,92.0,28.0,55.0
2025-09-23,118.94,36.46,85.0,68.0,92.0,28.0,55.0
2025-09-24,119.4,36.61,85.0,68.0,92.0,28.0,55.0
2025-09-25,119.82,36.77,85.0,68.0,92.0,28.0,55.0
2025-09-26,120.16,36.92,85.0,68.0,92.0,28.0,55.0
2025-09-29,120.52,37.07,85.0,68.0,92.0,28.0,55.0
2025-09-30,121.08,37.22,85.0,68.0,92.0,28.0,55.0
2025-10-09,121.54,37.37,85.0,68.0,92.0,28.0,55.0
2025-10-10,121.74,37.52,85.0,68.0,92.0,28.0,55.0
2025-10-13,122.16,37.67,85.0,68.0,92.0,28.0,55.0
2025-10-14,122.46,37.82,85.0,68.0,92.0,28.0,55.0
2025-10-15,122.47,37.97,85.0,68.0,92.0,28.0,55.0
2025-10-16,122.69,38.12,85.0,68.0,92.0,28.0,55.0
2025-10-17,122.96,38.27,85.0,68.0,92.0,28.0,55.0
2025-10-20,123.0,38.42,85.0,68.0,92.0,28.0,55.0
2025-10-21,123.16,38.58,85.0,68.0,92.0,28.0,55.0
2025-10-22,123.21,38.73,85.0,68.0,92.0,28.0,55.0
2025-10-23,123.02,38.88,85.0,68.0,92.0,28.0,55.0
2025-10-24,123.51,39.03,85.0,68.0,92.0,28.0,55.0
2025-10-27,124.3,39.18,85.0,68.0,92.0,28.0,55.0
2025-10-28,124.81,39.33,85.0,68.0,92.0,28.0,55.0
2025-10-29,125.62,39.48,85.0,68.0,92.0,28.0,55.0
2025-10-30,126.56,39.63,85.0,68.0,92.0,28.0,55.0
