date,001309,300475,301308,688525,688008,000300.SH,512760.SH
2025-06-09,85.707,32.573,72.909,61.986,83.306,3885.25,0.569
2025-06-10,84.036,32.003,71.109,59.786,81.226,3865.47,0.557
2025-06-11,85.372,32.863,72.339,60.046,81.456,3894.63,0.556
2025-06-12,86.979,33.713,72.329,59.366,80.696,3892.2,0.551
2025-06-13,84.943,34.383,70.239,58.076,78.416,3864.18,0.55
2025-06-16,85.772,33.483,70.619,58.876,78.956,3873.8,0.551
2025-06-17,90.357,34.583,75.509,61.606,79.166,3870.38,0.549
2025-06-18,94.422,36.853,79.349,63.636,79.966,3874.97,0.552
2025-06-19,92.607,36.513,78.459,63.086,80.716,3843.09,0.553
2025-06-20,88.136,35.903,79.009,62.276,80.986,3846.64,0.549
2025-06-23,87.672,35.923,80.319,64.126,77.426,3857.9,0.554
2025-06-24,87.986,35.933,80.909,65.086,78.466,3904.03,0.564
2025-06-25,90.314,36.483,81.699,66.446,80.196,3960.07,0.574
2025-06-26,87.872,35.603,81.759,65.586,79.216,3946.02,0.569
2025-06-27,87.6,35.473,83.959,67.286,79.566,3921.76,0.571
2025-06-30,83.914,35.513,86.499,67.186,81.416,3936.08,0.58
2025-07-01,84.164,34.963,84.099,67.586,81.416,3942.76,0.576
2025-07-02,86.529,34.073,82.209,65.926,79.676,3943.68,0.565
2025-07-03,83.886,35.773,84.809,66.086,81.716,3968.07,0.566
2025-07-04,86.086,35.483,82.659,64.756,81.036,3982.2,0.565
2025-07-07,86.357,35.233,81.509,64.306,79.676,3965.17,0.563
2025-07-08,86.064,35.083,82.689,65.326,82.316,3998.45,0.57
2025-07-09,86.386,34.003,80.989,64.786,80.416,3991.4,0.565
2025-07-10,82.7,33.133,79.539,65.496,80.236,4010.02,0.563
2025-07-11,80.7,33.173,80.599,66.556,82.446,4014.81,0.571
2025-07-14,82.9,33.493,80.369,66.146,82.126,4017.67,0.567
2025-07-15,82.56,33.763,80.859,64.656,84.716,4019.06,0.566
2025-07-16,83.16,34.373,82.279,64.096,84.376,4007.2,0.567
2025-07-17,83.27,35.033,82.229,64.556,85.686,4034.49,0.571
2025-07-18,81.82,33.563,80.359,62.876,85.076,4058.55,0.573
2025-07-21,81.3,33.453,80.389,63.706,83.326,4085.61,0.573
2025-07-22,78.73,32.913,80.219,63.006,82.736,4118.96,0.575
2025-07-23,83.5,33.193,80.689,63.036,82.936,4119.77,0.579
2025-07-24,83.79,33.333,84.799,64.286,83.096,4149.04,0.587
2025-07-25,86.9,33.773,86.209,64.566,84.016,4127.16,0.599
2025-07-28,85.98,33.813,84.959,64.236,85.386,4135.82,0.599
2025-07-29,86.24,34.133,90.039,65.516,86.416,4152.02,0.607
2025-07-30,84.7,33.883,89.699,65.006,86.626,4151.24,0.601
2025-07-31,85.05,33.643,88.289,63.356,84.436,4075.59,0.593
2025-08-01,87.53,33.343,86.869,63.286,81.606,4054.93,0.587
2025-08-04,88.13,34.173,87.309,63.436,83.576,4070.7,0.594
2025-08-05,87.48,34.273,88.009,62.756,84.576,4103.45,0.595
2025-08-06,87.1,34.983,88.239,64.046,90.356,4113.49,0.6
2025-08-07,87.49,35.783,87.519,64.906,92.376,4114.67,0.601
2025-08-08,89.24,34.633,87.489,62.716,90.776,4104.97,0.59
2025-08-11,93.53,35.473,89.089,65.666,90.246,4122.51,0.593
2025-08-12,95.38,36.883,90.119,65.906,89.576,4143.83,0.609
2025-08-13,93.44,35.913,88.499,66.446,89.566,4176.58,0.614
2025-08-14,92.31,35.093,89.269,63.856,88.356,4173.31,0.62
2025-08-15,92.35,35.993,90.629,65.996,92.416,4202.35,0.629
2025-08-18,92.71,37.063,90.509,67.366,91.146,4239.41,0.642
2025-08-19,90.62,36.743,89.579,66.996,89.016,4223.37,0.633
2025-08-20,91.15,37.123,91.789,67.696,92.276,4271.4,0.66
2025-08-21,96.2,38.623,92.019,67.116,90.596,4288.07,0.659
2025-08-22,98.52,39.473,95.609,70.486,98.526,4378.0,0.725
2025-08-25,99.21,40.603,95.739,69.926,101.396,4469.22,0.736
2025-08-26,97.87,43.393,97.719,69.706,103.016,4452.59,0.73
2025-08-27,96.48,41.783,96.799,70.466,107.616,4386.13,0.733
2025-08-28,97.6,41.373,97.649,72.436,116.916,4463.78,0.786
2025-08-29,93.92,42.023,94.469,70.266,122.316,4496.76,0.766
2025-09-01,101.57,46.783,99.149,73.006,123.636,4523.71,0.776
2025-09-02,95.0,43.813,93.009,68.646,114.816,4490.45,0.754
2025-09-03,91.69,43.953,91.079,67.316,111.906,4459.83,0.736
2025-09-04,86.48,39.713,85.889,63.266,102.266,4365.21,0.688
2025-09-05,95.17,42.873,92.599,71.446,107.826,4460.32,0.709
