component,eigenvalue,explained_variance_ratio,cumulative_variance_ratio
PC01,41.042885799041336,0.053541984528417796,0.053541984528417796
PC02,38.30238385490118,0.04996689691367999,0.10350888144209779
PC03,36.62651915322013,0.047780668528851739,0.15128954997094951
PC04,29.952644022019143,0.039074348004291992,0.1903638979752415
PC05,28.569416100488702,0.037269875279433338,0.22763377325467485
PC06,22.22032330441165,0.028987245497465463,0.25662101875214033
PC07,11.837566549851415,0.015442549731263409,0.27206356848340374
PC08,7.9730739831722204,0.010401174175255209,0.28246474265865895
PC09,7.525542561229849,0.0098173526431401606,0.29228209530179911
PC10,7.1185093630161402,0.0092863625634460115,0.30156845786524511
