,600547,600489,601899,002155,000975,600988,601069,518880.SH,159562.SZ,000300.SH
2025-07-24,30.39,14.73,19.1,18.28,18.62,23.73,19.74,7.42,1.64,4.1
2025-07-25,30.2,14.46,18.83,18.63,18.33,23.43,19.66,7.41,1.62,4.08
2025-07-28,29.73,14.35,18.78,17.99,17.94,23.06,19.52,7.39,1.6,4.09
2025-07-29,29.45,14.22,18.57,18.02,17.88,22.99,19.29,7.36,1.6,4.11
2025-07-30,29.61,14.27,18.8,18.04,18.01,22.93,19.31,7.38,1.6,4.11
2025-07-31,28.91,13.86,18.13,17.47,17.43,22.57,18.86,7.35,1.56,4.03
2025-08-01,29.04,13.99,18.24,17.43,17.53,22.53,18.91,7.35,1.56,4.01
2025-08-04,31.04,14.42,18.86,17.98,18.34,24.23,19.8,7.45,1.63,4.03
2025-08-05,31.3,14.32,18.85,18.18,18.05,24.32,19.35,7.46,1.63,4.06
2025-08-06,31.8,14.37,19.14,18.42,18.31,24.42,19.39,7.47,1.65,4.07
2025-08-07,32.34,14.51,19.28,18.63,18.37,25.23,19.95,7.48,1.68,4.07
2025-08-08,32.42,14.57,19.52,18.75,18.44,25.58,20.28,7.51,1.7,4.06
2025-08-11,30.82,14.16,19.23,18.13,17.96,24.2,19.37,7.43,1.66,4.08
2025-08-12,31.09,14.11,19.28,18.06,17.93,24.26,19.29,7.4,1.66,4.11
2025-08-13,31.14,14.3,20.0,18.94,17.97,24.62,19.39,7.42,1.69,4.14
2025-08-14,31.02,14.2,20.15,18.71,17.73,24.32,19.14,7.42,1.68,4.13
2025-08-15,30.8,14.16,20.27,18.95,17.67,24.26,19.1,7.4,1.69,4.17
2025-08-18,30.43,14.04,19.78,18.81,17.62,24.11,19.04,7.41,1.68,4.2
2025-08-19,30.07,13.9,19.31,18.63,17.58,23.87,18.85,7.39,1.65,4.18
2025-08-20,30.21,13.97,19.54,19.37,17.89,24.06,18.91,7.37,1.68,4.24
2025-08-21,30.09,14.06,19.58,19.8,17.78,23.91,18.8,7.39,1.67,4.25
2025-08-22,30.27,14.04,19.64,19.81,17.76,24.0,18.7,7.38,1.67,4.36
2025-08-25,31.5,14.69,21.19,20.85,18.44,24.98,19.13,7.43,1.74,4.44
2025-08-26,32.12,14.81,21.37,20.6,18.66,25.25,19.25,7.45,1.76,4.42
2025-08-27,31.68,14.63,21.51,19.85,18.36,24.49,18.76,7.45,1.69,4.35
2025-08-28,32.53,14.81,21.5,20.16,18.52,24.76,18.91,7.47,1.76,4.44
2025-08-29,32.91,15.51,22.06,20.37,19.15,25.65,19.76,7.49,1.81,4.48
2025-09-01,35.48,17.11,23.36,22.44,20.39,27.73,21.75,7.65,1.95,4.49
2025-09-02,35.45,17.3,23.39,21.99,20.16,27.49,23.94,7.67,1.94,4.47
2025-09-03,36.24,17.71,23.92,21.79,20.26,27.7,26.35,7.77,1.96,4.43
2025-09-04,35.8,17.13,22.85,20.45,19.87,26.24,26.95,7.75,1.9,4.33
2025-09-05,37.23,17.69,24.25,21.23,20.43,27.53,29.66,7.78,1.98,4.43
2025-09-08,36.73,17.71,23.62,21.78,20.27,27.68,27.94,7.85,1.96,4.43
