,001258,002459,002466,601012,600438,300750,515790.SH,000300.SH
2025-07-24,7.28,11.92,40.29,16.88,21.87,275.89,0.75,4.1
2025-07-25,7.24,11.65,41.89,16.52,21.13,273.49,0.74,4.08
2025-07-28,7.25,11.63,40.74,16.41,20.6,276.99,0.74,4.09
2025-07-29,7.24,11.86,40.4,16.56,21.31,282.51,0.75,4.11
2025-07-30,7.08,11.62,39.88,16.38,21.85,267.78,0.74,4.11
2025-07-31,7.03,11.06,38.23,15.76,20.43,255.31,0.72,4.03
2025-08-01,7.02,11.18,38.25,15.92,20.58,253.76,0.73,4.01
2025-08-04,7.06,11.09,38.09,15.78,20.07,257.17,0.72,4.03
2025-08-05,7.08,11.2,38.07,15.92,20.55,256.39,0.73,4.06
2025-08-06,7.08,11.21,38.16,15.94,20.42,255.69,0.73,4.07
2025-08-07,7.05,11.03,39.54,15.84,20.14,253.74,0.73,4.07
2025-08-08,7.16,10.96,40.83,15.82,20.15,254.17,0.73,4.06
2025-08-11,7.36,11.25,44.91,16.01,20.88,254.35,0.75,4.08
2025-08-12,7.29,11.06,45.88,15.84,20.36,253.94,0.75,4.11
2025-08-13,7.22,11.14,44.74,15.83,20.18,264.29,0.76,4.14
2025-08-14,7.08,10.85,43.03,15.56,19.56,270.58,0.75,4.13
2025-08-15,7.14,11.64,43.77,16.16,20.81,271.36,0.78,4.17
2025-08-18,7.13,12.03,44.46,16.31,20.79,273.69,0.79,4.2
2025-08-19,7.14,11.89,43.88,15.97,20.61,268.49,0.78,4.18
2025-08-20,7.17,12.11,43.04,16.2,20.77,270.89,0.79,4.24
2025-08-21,7.19,12.15,42.64,16.2,20.66,270.69,0.79,4.25
2025-08-22,7.18,12.27,43.1,16.52,21.03,278.87,0.81,4.36
2025-08-25,7.21,12.64,43.84,16.77,21.57,281.97,0.83,4.44
2025-08-26,7.24,12.53,43.91,16.85,21.32,281.19,0.82,4.42
2025-08-27,7.07,12.11,42.77,16.55,20.9,269.99,0.8,4.35
2025-08-28,7.01,12.47,42.8,16.89,21.53,269.1,0.83,4.44
2025-08-29,7.02,12.66,43.96,17.17,22.03,297.87,0.83,4.48
2025-09-01,6.99,12.72,43.86,17.08,22.58,295.69,0.84,4.49
2025-09-02,6.97,12.24,42.58,16.74,21.9,294.56,0.82,4.47
2025-09-03,6.84,12.5,42.12,17.18,21.98,300.69,0.84,4.43
2025-09-04,6.87,13.5,42.66,17.4,22.97,295.72,0.85,4.33
2025-09-05,6.99,14.01,46.35,18.1,24.39,316.8,0.91,4.43
2025-09-08,6.99,14.22,47.34,17.99,24.08,317.06,0.91,4.43
2025-09-09,6.94,13.59,46.24,17.61,23.68,311.69,0.89,4.41
2025-09-10,6.92,13.25,43.93,17.2,22.26,307.73,0.88,4.42
2025-09-11,6.95,13.34,43.93,17.28,22.44,314.24,0.9,4.54
2025-09-12,6.95,13.29,44.03,17.12,22.23,316.69,0.89,4.5
2025-09-15,6.92,13.26,45.31,17.16,22.16,346.39,0.9,4.51
2025-09-16,6.93,13.63,44.49,17.05,22.39,345.11,0.9,4.5
2025-09-17,6.94,13.72,44.79,17.3,22.99,368.79,0.91,4.53
2025-09-18,6.86,12.96,43.15,16.82,22.1,358.58,0.9,4.47
2025-09-19,6.98,12.82,45.01,16.9,21.83,360.18,0.89,4.48
2025-09-22,7.11,12.39,43.87,16.6,21.28,361.74,0.88,4.5
2025-09-23,7.03,12.18,42.82,16.29,20.77,359.84,0.89,4.5
2025-09-24,7.08,12.74,43.34,17.4,21.74,371.62,0.92,4.54
2025-09-25,6.94,12.86,44.69,17.76,21.97,384.54,0.93,4.57
2025-09-26,6.9,12.81,44.77,17.5,21.74,372.09,0.92,4.53
2025-09-29,7.22,13.0,46.44,17.58,21.89,389.06,0.94,4.61
2025-09-30,7.1,13.14,47.57,18.0,22.29,393.69,0.95,4.62
2025-10-09,7.37,13.42,51.33,18.88,22.7,401.58,0.98,4.69
2025-10-10,7.38,13.07,47.65,18.4,21.79,373.64,0.94,4.6
2025-10-13,7.5,12.95,49.77,18.13,21.9,366.19,0.92,4.57
2025-10-14,7.42,13.86,46.98,19.28,23.12,349.69,0.93,4.52
2025-10-15,7.46,14.3,47.3,19.72,24.37,360.99,0.96,4.58
2025-10-16,7.39,14.21,47.5,20.25,24.84,360.19,0.97,4.6
2025-10-17,7.25,13.6,46.55,19.7,23.6,349.83,0.91,4.5
2025-10-20,7.34,13.26,45.49,19.06,23.03,358.19,0.91,4.52
2025-10-21,7.44,13.18,45.61,19.01,23.08,367.59,0.93,4.59
2025-10-22,7.44,12.94,45.97,18.77,22.47,364.55,0.91,4.57
2025-10-23,7.49,13.02,48.01,19.04,22.87,368.14,0.92,4.59
2025-10-24,7.44,12.83,48.61,18.84,22.21,377.46,0.93,4.65
2025-10-27,8.19,13.04,49.21,19.06,22.93,377.87,0.94,4.7
2025-10-28,8.14,12.84,48.51,18.9,22.61,378.17,0.93,4.68
2025-10-29,8.3,14.12,50.77,20.79,24.87,391.69,1.01,4.74
2025-10-30,8.06,14.35,55.68,21.51,24.78,389.98,1.01,4.7
2025-10-31,7.91,14.08,53.4,21.11,24.78,380.46,0.99,4.63
2025-11-03,7.99,14.36,53.83,21.76,25.21,378.55,1.03,4.64
2025-11-04,8.2,13.96,52.25,21.35,24.3,370.64,1.0,4.61
2025-11-05,8.25,14.49,54.27,21.85,24.4,380.39,1.05,4.61
2025-11-06,8.25,14.39,55.14,21.77,24.96,386.37,1.06,4.68
2025-11-07,8.31,14.67,56.99,22.43,26.65,387.06,1.08,4.67
2025-11-10,8.2,15.29,57.51,22.8,27.16,376.2,1.08,4.68
2025-11-11,8.38,15.06,55.32,22.44,26.72,377.29,1.08,4.64
2025-11-12,8.26,14.03,54.1,20.79,25.1,378.07,1.03,4.64
2025-11-13,8.31,14.29,59.5,21.3,25.62,407.29,1.05,4.69
2025-11-14,8.36,14.48,56.61,21.88,25.76,395.81,1.04,4.62
2025-11-17,8.27,14.2,62.2,21.69,25.22,382.47,1.03,4.59
2025-11-18,8.07,13.87,59.94,21.15,24.88,376.69,1.0,4.56
2025-11-19,7.92,13.85,63.59,21.2,25.91,382.79,1.0,4.57
2025-11-20,7.87,13.22,62.31,20.1,24.59,371.08,0.98,4.55
2025-11-21,7.59,12.21,56.08,18.84,22.97,361.69,0.93,4.44
2025-11-24,7.5,12.15,51.59,18.76,22.72,362.24,0.93,4.43
2025-11-25,7.56,12.19,53.7,18.98,22.73,364.05,0.94,4.47
2025-11-26,7.5,12.04,54.16,18.81,22.86,364.51,0.95,4.5
2025-11-27,7.51,12.08,53.75,18.58,23.0,362.89,0.95,4.5
2025-11-28,7.59,12.07,55.03,18.57,22.88,364.89,0.96,4.51
2025-12-01,7.53,12.12,54.62,18.75,23.32,374.66,0.96,4.56
2025-12-02,7.45,11.78,52.61,18.31,22.35,371.77,0.94,4.54
2025-12-03,7.41,11.48,51.2,18.02,22.02,367.77,0.94,4.52
2025-12-04,7.35,11.2,51.39,17.91,21.72,375.04,0.94,4.53
2025-12-05,7.4,11.35,51.05,18.02,21.84,380.78,0.95,4.58
2025-12-08,7.37,11.42,53.1,18.08,21.89,384.19,0.97,4.61
2025-12-09,7.34,11.46,52.25,18.2,22.68,379.28,0.97,4.58
2025-12-10,7.27,11.3,52.89,18.2,22.0,374.07,0.96,4.58
2025-12-11,7.22,11.1,53.1,17.88,21.26,380.68,0.95,4.54
2025-12-12,7.23,11.27,51.64,18.19,21.62,383.49,0.96,4.57
2025-12-15,7.24,11.28,50.41,18.0,21.74,377.19,0.95,4.54
2025-12-16,7.1,10.88,50.13,17.46,20.8,370.1,0.93,4.5
2025-12-17,7.11,11.16,53.14,17.78,21.18,375.11,0.95,4.58
2025-12-18,7.11,11.03,52.1,17.7,20.76,363.69,0.93,4.54
2025-12-19,7.21,11.14,52.9,18.08,20.8,365.69,0.94,4.57
2025-12-22,7.22,11.23,53.92,18.11,20.84,363.53,0.95,4.61
2025-12-23,7.18,11.2,55.78,18.02,20.86,369.79,0.95,4.62
2025-12-24,7.25,11.43,56.26,18.13,21.04,367.29,0.96,4.63
2025-12-25,7.25,11.63,55.53,18.27,21.38,364.7,0.97,4.64
2025-12-26,7.25,11.82,57.93,19.02,21.8,366.12,0.99,4.66
2025-12-29,7.15,11.76,55.3,18.7,21.51,361.0,0.98,4.64
