,green_power_market_price,coal_spot_price_index,grid_absorption_rate,lockin_cost_001258,lockin_cost_601012
2025-07-24,0.3820654298866516,851.4968924904211,94.19428930226549,100.0,100.0
2025-07-25,0.3775547557269802,853.985676249232,95.35543158098766,100.0,100.0
2025-07-28,0.3755733441995056,851.9529304000346,94.21472264480225,100.0,100.0
2025-07-29,0.3750307882928511,858.1488774531947,94.74561878041973,100.0,100.0
2025-07-30,0.37500748800555095,853.1458148011853,94.47558714212528,100.0,100.0
2025-07-31,0.377069504298203,847.188315280346,94.49310555205255,100.0,100.0
2025-08-01,0.37780260730100274,847.9861225545859,95.1094408592367,100.0,100.0
2025-08-04,0.3739965742248725,852.0745157650346,94.61148789452794,100.0,100.0
2025-08-05,0.37533716777789033,858.7102265308661,94.99631077891564,100.0,100.0
2025-08-06,0.3773689250137418,856.7746894793903,95.1286171935002,100.0,100.0
2025-08-07,0.37924829635753493,860.9894128131155,94.73793906204855,100.0,100.0
2025-08-08,0.3826906385341988,860.7353789351126,95.67118281723985,100.0,100.0
2025-08-11,0.3853924049978455,859.9448697353494,95.18972050438954,100.0,100.0
2025-08-12,0.3869699452355308,863.379509485296,95.00012906465287,100.0,100.0
2025-08-13,0.3869594481011549,865.8888009989497,95.74572268296738,100.0,100.0
2025-08-14,0.3821765653006069,859.4832323710127,95.12626836953582,100.0,100.0
2025-08-15,0.3836654199580047,865.2893937699163,95.68610103517314,100.0,100.0
2025-08-18,0.384488483019494,870.7097591865062,95.76233904440156,100.0,100.0
2025-08-19,0.38550321953108013,868.1075083804681,96.40302246504854,100.0,100.0
2025-08-20,0.3818729738036192,869.5907225142176,96.18879771285619,100.0,100.0
2025-08-21,0.3788298041823944,871.4668432593486,96.02841827407651,100.0,100.0
2025-08-22,0.3821892627423931,872.4095383226443,96.53732060266005,100.0,100.0
2025-08-25,0.38227059728082313,870.1083177072626,96.90898468554299,100.0,100.0
2025-08-26,0.38451509937294104,867.3218242355103,96.57608449443858,100.0,100.0
2025-08-27,0.3848000545013324,867.1196079515446,96.38342834587273,100.0,100.0
2025-08-28,0.3850893229198196,871.710524028582,95.80110232764433,100.0,100.0
2025-08-29,0.38810417433774763,873.7849246469598,96.00085141467193,100.0,100.0
2025-09-01,0.3867560401530955,872.2024673186153,96.45472907885328,100.0,100.0
2025-09-02,0.38724440248391845,875.1892621612087,96.373992263389,100.0,100.0
2025-09-03,0.3860575766178033,863.6950916786884,96.65407420890057,100.0,100.0
2025-09-04,0.3849540879355064,868.1901544801768,96.84203420984036,100.0,100.0
2025-09-05,0.3842265715651005,861.1312993650645,97.14197881054535,100.0,100.0
2025-09-08,0.3850929728800016,859.5815355994519,96.90251857860646,100.0,100.0
2025-09-09,0.38385672701501117,855.0028560209473,97.23880792238307,100.0,100.0
2025-09-10,0.38782399539173174,849.7241301180637,97.08268104742143,100.0,100.0
2025-09-11,0.3853401734850732,854.2674372675777,96.11464172337274,100.0,100.0
2025-09-12,0.38497955855258914,852.2966324623302,96.68163258708772,100.0,100.0
2025-09-15,0.38386036537776663,853.582647989253,97.12512849082897,100.0,100.0
2025-09-16,0.3884012990308278,853.2949656737363,96.63509914387161,100.0,100.0
2025-09-17,0.3891909633603626,855.1031289826288,97.57954594486318,100.0,100.0
2025-09-18,0.3924864969787685,855.3104165468699,98.08141447619263,100.0,100.0
2025-09-19,0.38822981585965755,850.0784476501155,97.95866455797957,100.0,100.0
2025-09-22,0.3892309666572653,853.9635149279042,97.27256165008652,100.0,100.0
2025-09-23,0.39209985904413563,851.8884885952589,98.15137142225736,100.0,100.0
2025-09-24,0.39254671101196187,845.5621610006199,97.50376727147953,100.0,100.0
2025-09-25,0.39594315213715797,843.7497003567562,97.28099297048077,100.0,100.0
2025-09-26,0.39459128678685684,849.6527395192935,97.15959478433105,100.0,100.0
2025-09-29,0.39901932910741356,852.9536264877474,97.32846294091168,100.0,100.0
2025-09-30,0.4061160234782713,851.459017950116,97.29563956606452,100.0,100.0
2025-10-09,0.4052275077969523,849.9619871328423,97.58158508258188,100.0,100.0
2025-10-10,0.40409100023275,848.5754469279727,97.5799253206498,100.0,100.0
2025-10-13,0.40865115366410315,856.7824388622162,97.50103190167576,100.0,100.0
2025-10-14,0.4135898701012953,858.2101806711423,97.7144578661027,100.0,100.0
2025-10-15,0.4122212900198355,859.8303472599066,98.0844045470421,100.0,100.0
2025-10-16,0.4111607295685479,863.851481076034,97.95357053712567,100.0,100.0
2025-10-17,0.4105153757419664,864.70663771214,96.72268594425128,100.0,100.0
2025-10-20,0.4066820242088635,863.5704691288572,96.17115845316286,100.0,100.0
2025-10-21,0.40412606836941095,862.6850697325173,97.89492218813932,100.0,100.0
2025-10-22,0.40131364606915476,862.298664694861,96.72064493866452,100.0,100.0
2025-10-23,0.39921025337384236,862.0497757488217,97.26472542727002,100.0,100.0
2025-10-24,0.399306198711682,864.8602939233696,96.76180337770558,100.0,100.0
2025-10-27,0.4002088429092916,864.9680774665987,96.41237866413614,100.0,100.0
2025-10-28,0.4050603443877338,867.7986377754611,97.5473989183067,100.0,100.0
2025-10-29,0.40226528226551744,867.3757714550268,97.61636904461409,100.0,100.0
2025-10-30,0.4054182494609472,867.5903122162912,96.90552404925505,100.0,100.0
2025-10-31,0.40497628292827065,859.4975094781627,95.85215143810525,100.0,100.0
2025-11-03,0.40502789179931337,863.0628201769727,96.82539391673195,100.0,100.0
2025-11-04,0.4072523502758132,864.3487740805646,97.24225955000647,100.0,100.0
2025-11-05,0.4040841842111263,868.2408145200033,96.25179155555834,100.0,100.0
2025-11-06,0.4054314134496784,856.5557930072284,97.02491887491176,100.0,100.0
2025-11-07,0.4061307700743176,864.8092918263513,96.86473355227345,100.0,100.0
2025-11-10,0.407808123866342,864.1509333137307,97.09840073320844,100.0,100.0
2025-11-11,0.4088756297980655,868.4836645806807,96.80219027332267,100.0,100.0
2025-11-12,0.4164415302177982,864.2240408721786,96.18685361475534,100.0,100.0
2025-11-13,0.41472831026504425,866.5751364924289,97.20007158816652,100.0,100.0
2025-11-14,0.41333531940003876,862.2614742397343,96.44839793438705,100.0,100.0
2025-11-17,0.41166589782076446,859.6663983969511,96.43743828397825,100.0,100.0
2025-11-18,0.4101994664632837,867.2225238124182,95.90550954701774,100.0,100.0
