,temperature,sentiment_mood,suggested_cash_pct
2026-04-07,57.88105690443273,中性均衡,30.0
2026-04-08,52.05105232770652,中性均衡,30.0
2026-04-09,37.21393175937268,中性均衡,30.0
2026-04-10,35.642967969589854,中性均衡,30.0
2026-04-13,47.36812624048076,中性均衡,30.0
2026-04-14,60.44881001335991,中性均衡,30.0
2026-04-15,58.30633325308803,中性均衡,30.0
2026-04-16,59.312617313792266,中性均衡,30.0
2026-04-17,44.10363056850948,中性均衡,30.0
2026-04-20,64.92697992097851,中性均衡,30.0
2026-04-21,44.280853598508926,中性均衡,30.0
2026-04-22,53.70259518935975,中性均衡,30.0
2026-04-23,51.9171816807381,中性均衡,30.0
2026-04-24,50.60900943748331,中性均衡,30.0
2026-04-27,62.70873710636485,中性均衡,30.0
2026-04-28,46.35911583867232,中性均衡,30.0
2026-04-29,41.20315795430457,中性均衡,30.0
2026-04-30,52.15996388965135,中性均衡,30.0
2026-05-01,48.801386125707786,中性均衡,30.0
2026-05-04,79.01906335266116,积极乐观,30.0
2026-05-05,57.412059811519796,中性均衡,30.0
2026-05-06,48.72527539825101,中性均衡,30.0
2026-05-07,43.55110744650331,中性均衡,30.0
2026-05-08,36.957692715449724,中性均衡,30.0
2026-05-11,43.798247314100536,中性均衡,30.0
2026-05-12,52.91953417407306,中性均衡,30.0
2026-05-13,63.418629212758155,中性均衡,30.0
2026-05-14,60.97351313910335,中性均衡,30.0
2026-05-15,53.832758653171034,中性均衡,30.0
2026-05-18,49.41465867438012,中性均衡,30.0
2026-05-19,54.150498851297236,中性均衡,30.0
2026-05-20,47.85089602012339,中性均衡,30.0
2026-05-21,65.746911966111,积极乐观,30.0
2026-05-22,50.48647854979936,中性均衡,30.0
2026-05-25,51.30929713402619,中性均衡,30.0
2026-05-26,34.27342059983465,恐慌防御,30.0
2026-05-27,50.43652122781789,中性均衡,30.0
2026-05-28,58.69187310371953,中性均衡,30.0
2026-05-29,43.45821938369164,中性均衡,30.0
2026-06-01,48.32289016754149,中性均衡,30.0
2026-06-02,47.67308374921812,中性均衡,30.0
2026-06-03,43.80091134019703,中性均衡,30.0
2026-06-04,39.61418815591468,中性均衡,30.0
2026-06-05,42.45802853429437,中性均衡,30.0
2026-06-08,47.204868634292254,中性均衡,30.0
2026-06-09,46.952833208761085,中性均衡,30.0
2026-06-10,50.465198351383165,中性均衡,30.0
2026-06-11,51.730924439049886,中性均衡,30.0
2026-06-12,49.47300529793196,中性均衡,30.0
2026-06-15,50.737889917211405,中性均衡,30.0
2026-06-16,56.12101789984229,中性均衡,30.0
2026-06-17,55.99562676295746,中性均衡,30.0
2026-06-18,61.47187955830648,中性均衡,30.0
2026-06-19,52.30277169399238,中性均衡,30.0
2026-06-22,55.179430459305664,中性均衡,30.0
2026-06-23,55.48409519813927,中性均衡,30.0
2026-06-24,54.43756947150873,中性均衡,30.0
2026-06-25,54.75873218938299,中性均衡,30.0
2026-06-26,47.80224098827986,中性均衡,30.0
2026-06-29,47.03338938084857,中性均衡,30.0
2026-06-30,48.28328338113968,中性均衡,30.0
2026-07-01,53.45591253773499,中性均衡,30.0
2026-07-02,51.64196677377722,中性均衡,30.0
2026-07-03,48.81223916365106,中性均衡,30.0
2026-07-06,47.05608951110519,中性均衡,30.0
2026-07-07,50.259996923062445,中性均衡,30.0
2026-07-08,51.410625806871344,中性均衡,30.0
2026-07-09,49.556465093686704,中性均衡,30.0
2026-07-10,51.352901109583456,中性均衡,30.0
2026-07-13,51.69267253230159,中性均衡,30.0
2026-07-14,55.08292999916671,中性均衡,30.0
2026-07-15,52.62574417059597,中性均衡,30.0
2026-07-16,51.47892665750378,中性均衡,30.0
2026-07-17,50.10654812154123,中性均衡,30.0
2026-07-20,44.98424580307882,中性均衡,30.0
2026-07-21,46.02066677280484,中性均衡,30.0
2026-07-22,46.934360225434446,中性均衡,30.0
2026-07-23,46.95225732368306,中性均衡,30.0
2026-07-24,46.13120235687005,中性均衡,30.0
2026-07-27,41.1774047596936,中性均衡,30.0
2026-07-28,39.70514613001484,中性均衡,30.0
2026-07-29,38.50564532217115,中性均衡,30.0
2026-07-30,35.69767487989548,中性均衡,30.0
2026-07-31,35.13317488906445,中性均衡,30.0
2026-08-03,36.54735288791534,中性均衡,30.0
2026-08-04,43.14900354215219,中性均衡,30.0
2026-08-05,43.76002588706363,中性均衡,30.0
2026-08-06,44.6614522545933,中性均衡,30.0
2026-08-07,44.40089154941172,中性均衡,30.0
2026-08-10,37.68519229586507,中性均衡,30.0
2026-08-11,37.59239373179281,中性均衡,30.0
2026-08-12,37.803199466586406,中性均衡,30.0
2026-08-13,46.424546860284906,中性均衡,30.0
2026-08-14,45.75128348355098,中性均衡,30.0
2026-08-17,46.80669918171862,中性均衡,30.0
2026-08-18,46.68520798775027,中性均衡,30.0
2026-08-19,42.59483485608191,中性均衡,30.0
2026-08-20,46.59471470688448,中性均衡,30.0
2026-08-21,49.226480321288186,中性均衡,30.0
