code,name,sector,beta,alpha
300750,宁德时代,tech,1.3,0.2832
601012,隆基绿能,defensive,0.7,-0.0464
2415,海康威视,growth,1.3,0.226
600276,恒瑞医药,bluechip,1.0,0.2471
300059,东方财富,global,1.0,0.1028
2594,比亚迪,tech,1.3,0.3919
21,深科技,defensive,0.7,0.0369
688525,佰维存储,growth,1.3,0.2427
300812,易天股份,bluechip,1.0,-0.1433
300196,长海股份,global,1.0,-0.0207
301308,江波龙,tech,1.3,0.1441
1309,德明利,defensive,0.7,-0.3719
300475,香农芯创,growth,1.3,0.2891
603986,兆易创新,bluechip,1.0,0.1954
688110,东芯股份,global,1.0,0.4722
688766,普冉股份,tech,1.3,0.0262
300223,北京君正,defensive,0.7,0.0655
1258,立新能源,growth,1.3,0.0391
600030,中信证券,bluechip,1.0,0.1589
601688,华泰证券,global,1.0,-0.2701
601066,中信建投,tech,1.3,0.217
601211,国泰君安,defensive,0.7,0.4654
2230,科大讯飞,growth,1.3,0.4277
688111,金山办公,bluechip,1.0,0.3579
600570,恒生电子,global,1.0,0.1298
725,京东方A,tech,1.3,0.2228
601138,工业富联,defensive,0.7,0.5592
63,中兴通讯,growth,1.3,0.4072
688981,中芯国际,bluechip,1.0,0.0377
603501,韦尔股份,global,1.0,-0.0058
2371,北方华创,tech,1.3,0.2521
688012,中微公司,defensive,0.7,0.035
688008,澜起科技,growth,1.3,-0.014
688256,寒武纪,bluechip,1.0,-0.1156
688041,海光信息,global,1.0,0.1469
300274,阳光电源,tech,1.3,0.216
600438,通威股份,defensive,0.7,0.0157
2459,晶澳科技,growth,1.3,-0.1225
300760,迈瑞医疗,bluechip,1.0,-0.0956
300015,爱尔眼科,global,1.0,0.0655
600196,复星医药,tech,1.3,-0.0566
603259,药明康德,defensive,0.7,0.4315
300122,智飞生物,growth,1.3,0.0738
2352,顺丰控股,bluechip,1.0,0.4502
510300,沪深300ETF,global,1.0,0.011
159915,创业板ETF,tech,1.3,-0.0863
510050,上证50ETF,defensive,0.7,0.1922
159919,沪深300ETF易方达,growth,1.3,-0.4079
510500,中证500ETF,bluechip,1.0,-0.2614
26487,大成竞先成长混合C,global,1.0,0.3085
513100,纳指ETF,tech,1.3,-0.1345
513500,标普500ETF,defensive,0.7,0.5578
513520,日经ETF,growth,1.3,0.5793
513030,德国ETF,bluechip,1.0,-0.1093
159920,恒生ETF,global,1.0,-0.0681
513180,恒生科技ETF,tech,1.3,-0.1196
513050,中概互联网ETF,defensive,0.7,0.1767
512880,证券ETF,growth,1.3,0.3954
512760,芯片ETF,bluechip,1.0,0.2579
515030,新能源车ETF,global,1.0,0.2212
512690,白酒ETF,tech,1.3,0.0464
512010,医药ETF,defensive,0.7,0.0027
512660,军工ETF,growth,1.3,0.559
518880,黄金ETF,bluechip,1.0,-0.0146
513090,香港证券ETF,global,1.0,0.2027
603019,中科曙光,tech,1.3,-0.4459
977,浪潮信息,defensive,0.7,0.0986
300308,中际旭创,growth,1.3,-0.1057
300502,新易盛,bluechip,1.0,-0.0551
300394,天孚通信,global,1.0,-0.1416
2475,立讯精密,tech,1.3,0.0275
2241,歌尔股份,defensive,0.7,-0.0719
2384,东山精密,growth,1.3,0.0928
300433,蓝思科技,bluechip,1.0,0.014
300033,同花顺,global,1.0,-0.0941
2236,大华股份,tech,1.3,-0.0057
300418,昆仑万维,defensive,0.7,0.2539
300002,神州泰岳,growth,1.3,0.0779
600588,用友网络,bluechip,1.0,-0.1222
688036,传音控股,global,1.0,-0.0162
2409,雅克科技,tech,1.3,0.1172
600745,闻泰科技,defensive,0.7,-0.3843
603893,瑞芯微,growth,1.3,0.2895
688126,沪硅产业,bluechip,1.0,0.0276
688396,华润微,global,1.0,-0.1813
688536,思瑞浦,tech,1.3,0.1749
603160,汇顶科技,defensive,0.7,0.3881
300124,汇川技术,growth,1.3,0.2015
2812,恩捷股份,bluechip,1.0,0.4007
2709,天赐材料,global,1.0,-0.256
2466,天齐锂业,tech,1.3,0.2165
2460,赣锋锂业,defensive,0.7,-0.2998
603799,华友钴业,growth,1.3,0.4593
601799,星宇股份,bluechip,1.0,0.0066
600660,福耀玻璃,global,1.0,-0.1604
601689,拓普集团,tech,1.3,0.2726
2050,三花智控,defensive,0.7,0.1537
300660,江苏雷利,growth,1.3,0.1185
688017,绿的谐波,bluechip,1.0,-0.083
2747,埃斯顿,global,1.0,0.3795
300097,智云股份,tech,1.3,-0.2358
300161,华中数控,defensive,0.7,-0.3511
688696,极米科技,growth,1.3,0.0217
300347,泰格医药,bluechip,1.0,0.4732
688180,君实生物,global,1.0,-0.2498
688235,百济神州,tech,1.3,0.2434
600763,通策医疗,defensive,0.7,0.0819
2007,华兰生物,growth,1.3,0.1009
300558,贝达药业,bluechip,1.0,0.0451
688278,厦钨新能,global,1.0,0.1286
588000,科创50ETF,tech,1.3,0.0632
512100,中证1000ETF,defensive,0.7,0.3759
515050,5GETF,growth,1.3,0.1452
515790,光伏ETF,bluechip,1.0,0.2535
600460,士兰微,global,1.0,0.2998
600703,三安光电,tech,1.3,0.2066
300839,博汇股份,defensive,0.7,-0.1366
301591,肯特股份,growth,1.3,0.3293
688185,康希诺,bluechip,1.0,-0.3508
688137,近岸蛋白,global,1.0,-0.1608
688356,键凯科技,tech,1.3,0.1451
300016,北陆药业,defensive,0.7,0.1518
300214,日科化学,growth,1.3,0.3667
688328,深科达,bluechip,1.0,0.1992
300864,南大环境,global,1.0,0.1851
688598,金博股份,tech,1.3,-0.077
688676,金盘科技,defensive,0.7,0.4219
300004,南风股份,growth,1.3,0.0109
300128,锦富技术,bluechip,1.0,0.4742
300588,熙菱信息,global,1.0,0.5621
300382,斯莱克,tech,1.3,0.1862
301152,天力锂能,defensive,0.7,0.4916
300313,天山生物,growth,1.3,0.0842
301598,博科测试,bluechip,1.0,0.2253
688419,耐科装备,global,1.0,0.0545
301216,万凯新材,tech,1.3,0.2703
3040,楚天龙,defensive,0.7,-0.2125
1,平安银行,growth,1.3,0.302
270,标的_000270,bluechip,1.0,-0.0484
301,标的_000301,global,1.0,-0.0445
333,美的集团,tech,1.3,0.0517
538,标的_000538,defensive,0.7,0.3034
539,标的_000539,growth,1.3,0.2439
568,标的_000568,bluechip,1.0,-0.0678
596,标的_000596,global,1.0,0.0047
625,标的_000625,tech,1.3,0.3645
651,标的_000651,defensive,0.7,0.0685
660,标的_000660,growth,1.3,0.0096
858,五粮液,bluechip,1.0,-0.0706
876,标的_000876,global,1.0,0.364
895,标的_000895,tech,1.3,0.2362
2304,标的_002304,defensive,0.7,-0.2496
2311,标的_002311,growth,1.3,0.1818
2507,标的_002507,bluechip,1.0,0.2062
2714,牧原股份,global,1.0,0.2895
5380,标的_005380,tech,1.3,0.119
5490,标的_005490,defensive,0.7,0.2627
5930,标的_005930,growth,1.3,-0.0292
35420,标的_035420,bluechip,1.0,-0.0092
35720,标的_035720,global,1.0,0.1428
51910,标的_051910,tech,1.3,0.2361
105560,标的_105560,defensive,0.7,-0.2115
373220,标的_373220,growth,1.3,0.0181
600000,标的_600000,bluechip,1.0,-0.0897
600009,标的_600009,global,1.0,0.0965
600011,标的_600011,tech,1.3,0.5565
600016,标的_600016,defensive,0.7,0.0846
600018,标的_600018,growth,1.3,-0.0969
600019,标的_600019,bluechip,1.0,0.0649
600025,标的_600025,global,1.0,0.2714
600028,中国石化,tech,1.3,0.2108
600029,标的_600029,defensive,0.7,0.2579
600031,标的_600031,growth,1.3,-0.3735
600036,招商银行,bluechip,1.0,0.068
600050,标的_600050,global,1.0,-0.2328
600085,标的_600085,tech,1.3,0.1879
600089,标的_600089,defensive,0.7,0.3257
600104,标的_600104,growth,1.3,0.1057
600132,标的_600132,bluechip,1.0,0.0998
600150,标的_600150,global,1.0,-0.2342
600188,标的_600188,tech,1.3,0.0876
600305,标的_600305,defensive,0.7,-0.0078
600309,标的_600309,growth,1.3,-0.112
600362,标的_600362,bluechip,1.0,-0.0692
600426,标的_600426,global,1.0,0.0641
600436,标的_600436,tech,1.3,-0.2061
600519,贵州茅台,defensive,0.7,0.4099
600547,标的_600547,growth,1.3,0.1168
600600,标的_600600,bluechip,1.0,0.5286
600674,标的_600674,global,1.0,0.1611
600690,标的_600690,tech,1.3,0.2242
600779,标的_600779,defensive,0.7,0.0202
600795,国电电力,growth,1.3,0.2344
600809,标的_600809,bluechip,1.0,0.1069
600886,标的_600886,global,1.0,0.216
600887,标的_600887,tech,1.3,0.1386
600900,长江电力,defensive,0.7,-0.1909
600905,标的_600905,growth,1.3,0.1176
600938,标的_600938,bluechip,1.0,0.1058
600941,标的_600941,global,1.0,0.135
601088,中国神华,tech,1.3,0.0589
601111,标的_601111,defensive,0.7,0.0949
