,temperature,sentiment_mood,suggested_cash_pct
2024-01-02,63.1,中性均衡,25.0
2024-01-03,44.6,中性均衡,25.0
2024-01-04,64.2,中性均衡,25.0
2024-01-05,65.3,积极乐观,10.0
2024-01-08,58.6,中性均衡,25.0
2024-01-09,53.3,中性均衡,25.0
2024-01-10,60.9,中性均衡,25.0
2024-01-11,66.5,积极乐观,10.0
2024-01-12,64.2,中性均衡,25.0
2024-01-15,66.6,积极乐观,10.0
2024-01-16,58.5,中性均衡,25.0
2024-01-17,59.5,中性均衡,25.0
2024-01-18,58.8,中性均衡,25.0
2024-01-19,56.3,中性均衡,25.0
2024-01-22,38.6,中性均衡,25.0
2024-01-23,41.5,中性均衡,25.0
2024-01-24,37.4,中性均衡,25.0
2024-01-25,41.7,中性均衡,25.0
2024-01-26,47.0,中性均衡,25.0
2024-01-29,30.3,恐慌防御,50.0
2024-01-30,51.3,中性均衡,25.0
2024-01-31,33.7,恐慌防御,50.0
2024-02-01,43.2,中性均衡,25.0
2024-02-02,36.2,中性均衡,25.0
2024-02-05,33.3,恐慌防御,50.0
2024-02-06,32.7,恐慌防御,50.0
2024-02-07,30.6,恐慌防御,50.0
2024-02-08,32.3,恐慌防御,50.0
2024-02-09,21.3,恐慌防御,50.0
2024-02-12,24.0,恐慌防御,50.0
2024-02-13,27.2,恐慌防御,50.0
2024-02-14,31.2,恐慌防御,50.0
2024-02-15,25.8,恐慌防御,50.0
2024-02-16,26.8,恐慌防御,50.0
2024-02-19,26.1,恐慌防御,50.0
2024-02-20,32.3,恐慌防御,50.0
2024-02-21,30.8,恐慌防御,50.0
2024-02-22,32.0,恐慌防御,50.0
2024-02-23,33.8,恐慌防御,50.0
2024-02-26,23.7,恐慌防御,50.0
2024-02-27,39.8,中性均衡,25.0
2024-02-28,40.4,中性均衡,25.0
2024-02-29,33.0,恐慌防御,50.0
2024-03-01,35.9,中性均衡,25.0
2024-03-04,34.9,恐慌防御,50.0
2024-03-05,28.9,恐慌防御,50.0
2024-03-06,36.7,中性均衡,25.0
2024-03-07,43.6,中性均衡,25.0
