code,name,sector,beta,alpha
300750,宁德时代,tech,1.35,0.28
002594,比亚迪,tech,1.3,0.35
688981,中芯国际,tech,1.25,0.18
002415,海康威视,tech,1.15,0.12
002230,科大讯飞,tech,1.4,0.32
688111,金山办公,tech,1.3,0.25
603986,兆易创新,tech,1.45,0.38
688525,佰维存储,tech,1.6,0.45
601138,工业富联,tech,1.35,0.4
000063,中兴通讯,tech,1.2,0.15
000725,京东方A,tech,1.1,0.08
688012,中微公司,tech,1.45,0.36
002371,北方华创,tech,1.5,0.42
603501,韦尔股份,tech,1.4,0.28
688008,澜起科技,tech,1.45,0.35
300782,卓胜微,tech,1.35,0.18
002475,立讯精密,tech,1.25,0.22
002241,歌尔股份,tech,1.35,0.2
600703,三安光电,tech,1.2,0.05
002049,紫光国微,tech,1.3,0.16
600745,闻泰科技,tech,1.25,0.08
688396,华润微,tech,1.2,0.12
002156,通富微电,tech,1.4,0.3
600584,长电科技,tech,1.35,0.24
688099,晶晨股份,tech,1.3,0.22
688126,沪硅产业,tech,1.25,0.15
002185,华天科技,tech,1.3,0.18
688256,寒武纪,tech,1.7,0.5
688521,芯原股份,tech,1.45,0.26
688123,聚辰股份,tech,1.4,0.28
688608,恒玄科技,tech,1.35,0.25
688002,睿创微纳,tech,1.3,0.2
300474,景嘉微,tech,1.45,0.28
688508,芯朋微,tech,1.3,0.18
688766,普冉股份,tech,1.45,0.32
688110,东芯股份,tech,1.5,0.36
300475,香农芯创,tech,1.55,0.4
001309,德明利,tech,1.65,0.48
301308,江波龙,tech,1.5,0.35
300223,北京君正,tech,1.35,0.22
000021,深科技,tech,1.3,0.18
300059,东方财富,tech,1.4,0.3
600570,恒生电子,tech,1.3,0.2
300812,易天股份,tech,1.35,0.15
300196,长海股份,tech,1.1,0.08
300274,阳光电源,tech,1.4,0.35
300014,亿纬锂能,tech,1.35,0.26
002460,赣锋锂业,tech,1.3,0.15
002466,天齐锂业,tech,1.35,0.18
603799,华友钴业,tech,1.3,0.2
600900,长江电力,defensive,0.65,0.15
601985,中国核电,defensive,0.7,0.18
600905,三峡能源,growth,0.95,0.12
600886,国投电力,defensive,0.75,0.16
600011,华能国际,growth,1.05,0.2
600795,国电电力,defensive,0.8,0.14
001289,龙源电力,growth,0.9,0.15
000591,太阳能,growth,1.0,0.1
601016,节能风电,growth,0.95,0.12
001258,立新能源,growth,1.1,0.22
688223,晶科能源,growth,1.2,0.15
601012,隆基绿能,growth,1.25,0.08
600438,通威股份,growth,1.25,0.12
688599,天合光能,growth,1.2,0.1
002812,恩捷股份,growth,1.3,0.14
603659,璞泰来,growth,1.25,0.16
300450,先导智能,growth,1.3,0.2
605117,德业股份,growth,1.35,0.28
688032,禾迈股份,growth,1.4,0.25
688063,派能科技,growth,1.35,0.2
600025,华能水电,defensive,0.68,0.16
600027,华电国际,defensive,0.85,0.15
600674,川投能源,defensive,0.7,0.14
600023,浙能电力,defensive,0.78,0.12
600863,内蒙华电,defensive,0.75,0.14
000037,深南电A,growth,1.15,0.08
000539,粤电力A,defensive,0.82,0.1
600578,京能电力,defensive,0.8,0.11
600780,通宝能源,defensive,0.76,0.1
600452,涪陵电力,defensive,0.82,0.13
601991,大唐发电,defensive,0.85,0.12
600098,广州发展,defensive,0.75,0.11
000690,宝新能源,defensive,0.8,0.13
600167,联美量子,defensive,0.7,0.09
000862,银星能源,growth,1.05,0.1
600642,申能股份,defensive,0.72,0.14
600236,桂冠电力,defensive,0.68,0.13
000966,杉杉股份,growth,1.2,0.15
300769,德方纳米,growth,1.35,0.18
300037,新宙邦,growth,1.25,0.2
002407,多氟多,growth,1.25,0.16
300073,当升科技,growth,1.3,0.19
300568,星源材质,growth,1.28,0.17
688772,珠海冠宇,growth,1.3,0.18
688005,容百科技,growth,1.35,0.19
002709,天赐材料,growth,1.32,0.18
002074,国轩高科,growth,1.28,0.16
002080,中材科技,growth,1.15,0.14
601865,福莱特,growth,1.3,0.22
600875,东方电气,growth,1.1,0.18
600547,山东黄金,global,0.9,0.26
600489,中金黄金,global,0.88,0.24
601899,紫金矿业,global,1.1,0.32
002155,湖南黄金,global,0.95,0.28
000975,银泰黄金,global,0.92,0.25
600988,赤峰黄金,global,1.05,0.3
601069,西部黄金,global,1.0,0.22
603993,洛阳钼业,global,1.15,0.28
600362,江西铜业,global,1.05,0.2
000630,铜陵有色,global,1.08,0.18
000878,云南铜业,global,1.1,0.19
601600,中国铝业,global,1.12,0.22
002532,天山铝业,global,1.05,0.18
600219,南山铝业,global,0.95,0.14
600549,厦门钨业,global,1.1,0.2
600392,盛和资源,global,1.25,0.22
600111,北方稀土,global,1.3,0.25
000831,中国稀土,global,1.35,0.26
002240,盛新锂能,global,1.3,0.16
002756,永兴材料,global,1.25,0.2
002738,中矿资源,global,1.28,0.24
002497,雅化集团,global,1.25,0.18
000960,锡业股份,global,1.15,0.21
600961,株冶集团,global,1.08,0.16
600497,驰宏锌锗,global,1.05,0.18
000060,中金岭南,global,1.08,0.15
600338,西藏珠峰,global,1.2,0.17
601168,西部矿业,global,1.1,0.23
000688,国城矿业,global,1.15,0.16
002114,罗平锌电,global,1.12,0.12
600019,宝钢股份,bluechip,0.85,0.12
000932,华菱钢铁,bluechip,0.95,0.15
600585,海螺水泥,bluechip,0.8,0.1
600309,万华化学,bluechip,1.05,0.22
600346,恒力石化,bluechip,1.0,0.16
002493,荣盛石化,bluechip,1.05,0.15
000301,东方盛虹,bluechip,1.1,0.14
002648,卫星化学,growth,1.15,0.24
000792,盐湖股份,growth,1.12,0.2
000408,藏格矿业,growth,1.18,0.22
600426,华鲁恒升,bluechip,0.95,0.18
002064,华峰化学,growth,1.05,0.15
600141,兴发集团,growth,1.15,0.2
600096,云天化,growth,1.1,0.22
000553,安道麦A,bluechip,0.85,0.08
601225,陕西煤业,bluechip,0.7,0.2
601088,中国神华,defensive,0.6,0.18
600188,兖矿能源,bluechip,0.85,0.19
600971,恒源煤电,defensive,0.72,0.16
601699,潞安环能,bluechip,0.82,0.18
600036,招商银行,bluechip,0.85,0.18
002142,宁波银行,bluechip,0.95,0.16
000001,平安银行,bluechip,0.9,0.12
601398,工商银行,defensive,0.55,0.14
601939,建设银行,defensive,0.58,0.13
601288,农业银行,defensive,0.52,0.15
601988,中国银行,defensive,0.54,0.13
601166,兴业银行,bluechip,0.8,0.12
600000,浦发银行,bluechip,0.75,0.09
600016,民生银行,bluechip,0.7,0.08
601998,中信银行,defensive,0.65,0.14
601818,光大银行,bluechip,0.68,0.1
600015,华夏银行,bluechip,0.66,0.09
601916,浙商银行,bluechip,0.72,0.1
601009,南京银行,bluechip,0.82,0.15
601169,北京银行,defensive,0.62,0.11
600919,江苏银行,bluechip,0.85,0.18
600926,杭州银行,bluechip,0.88,0.17
601229,上海银行,defensive,0.65,0.12
601838,成都银行,bluechip,0.85,0.19
600030,中信证券,bluechip,1.15,0.22
601688,华泰证券,bluechip,1.2,0.2
601211,国泰君安,bluechip,1.1,0.18
600837,海通证券,bluechip,1.12,0.14
000776,广发证券,bluechip,1.18,0.21
600999,招商证券,bluechip,1.12,0.19
000166,申万宏源,bluechip,1.05,0.15
600958,东方证券,bluechip,1.25,0.22
601881,中国银河,bluechip,1.28,0.24
601995,中金公司,bluechip,1.3,0.25
601788,光大证券,bluechip,1.25,0.2
601377,兴业证券,bluechip,1.2,0.18
601066,中信建投,bluechip,1.26,0.23
601456,国联证券,growth,1.35,0.26
601108,财通证券,bluechip,1.15,0.16
600918,中泰证券,bluechip,1.18,0.17
002736,国信证券,bluechip,1.1,0.18
002926,华西证券,bluechip,1.15,0.15
000783,长江证券,bluechip,1.12,0.16
601318,中国平安,bluechip,0.95,0.18
601628,中国人寿,bluechip,0.9,0.16
601601,中国太保,bluechip,0.88,0.17
601336,新华保险,bluechip,1.05,0.2
601319,中国人保,defensive,0.75,0.14
600649,城投控股,bluechip,0.85,0.08
600048,保利发展,bluechip,1.1,0.12
000002,万科A,bluechip,1.15,0.09
001979,招商蛇口,bluechip,1.08,0.14
600383,金地集团,bluechip,1.2,0.08
600606,绿地控股,bluechip,1.1,0.06
600519,贵州茅台,bluechip,0.85,0.22
000858,五粮液,bluechip,0.95,0.2
000568,泸州老窖,growth,1.05,0.24
600809,山西汾酒,growth,1.1,0.26
002304,洋河股份,bluechip,0.85,0.14
000596,古井贡酒,growth,1.0,0.22
603369,今世缘,growth,0.95,0.2
603198,迎驾贡酒,growth,0.98,0.19
600702,舍得酒业,growth,1.2,0.18
000799,酒鬼酒,growth,1.25,0.16
600887,伊利股份,defensive,0.7,0.15
603288,海天味业,defensive,0.75,0.12
000895,双汇发展,defensive,0.6,0.14
600600,青岛啤酒,defensive,0.8,0.16
600132,重庆啤酒,growth,0.95,0.15
605499,东鹏饮料,growth,1.1,0.32
603517,绝味食品,growth,0.9,0.1
002557,洽洽食品,defensive,0.72,0.12
600276,恒瑞医药,bluechip,0.9,0.25
603259,药明康德,growth,1.25,0.24
300760,迈瑞医疗,bluechip,0.85,0.22
300015,爱尔眼科,growth,1.1,0.18
600436,片仔癀,bluechip,0.85,0.2
000538,云南白药,defensive,0.65,0.16
600085,同仁堂,defensive,0.75,0.18
600196,复星医药,growth,1.05,0.15
300122,智飞生物,growth,1.2,0.14
