code,name,sector,beta,alpha,sub_industry,student_group
300750,宁德时代,tech,1.35,0.28,硬科技与半导体,同学A（科技与先进制造组）
002594,比亚迪,tech,1.3,0.35,硬科技与半导体,同学A（科技与先进制造组）
688981,中芯国际,tech,1.25,0.18,硬科技与半导体,同学A（科技与先进制造组）
002415,海康威视,tech,1.15,0.12,硬科技与半导体,同学A（科技与先进制造组）
002230,科大讯飞,tech,1.4,0.32,硬科技与半导体,同学A（科技与先进制造组）
688111,金山办公,tech,1.3,0.25,硬科技与半导体,同学A（科技与先进制造组）
603986,兆易创新,tech,1.45,0.38,硬科技与半导体,同学A（科技与先进制造组）
688525,佰维存储,tech,1.6,0.45,硬科技与半导体,同学A（科技与先进制造组）
601138,工业富联,tech,1.35,0.4,硬科技与半导体,同学A（科技与先进制造组）
000063,中兴通讯,tech,1.2,0.15,硬科技与半导体,同学A（科技与先进制造组）
000725,京东方A,tech,1.1,0.08,硬科技与半导体,同学A（科技与先进制造组）
688012,中微公司,tech,1.45,0.36,硬科技与半导体,同学A（科技与先进制造组）
002371,北方华创,tech,1.5,0.42,硬科技与半导体,同学A（科技与先进制造组）
603501,韦尔股份,tech,1.4,0.28,硬科技与半导体,同学A（科技与先进制造组）
688008,澜起科技,tech,1.45,0.35,硬科技与半导体,同学A（科技与先进制造组）
300782,卓胜微,tech,1.35,0.18,硬科技与半导体,同学A（科技与先进制造组）
002475,立讯精密,tech,1.25,0.22,硬科技与半导体,同学A（科技与先进制造组）
002241,歌尔股份,tech,1.35,0.2,硬科技与半导体,同学A（科技与先进制造组）
600703,三安光电,tech,1.2,0.05,硬科技与半导体,同学A（科技与先进制造组）
002049,紫光国微,tech,1.3,0.16,硬科技与半导体,同学A（科技与先进制造组）
600745,闻泰科技,tech,1.25,0.08,硬科技与半导体,同学A（科技与先进制造组）
688396,华润微,tech,1.2,0.12,硬科技与半导体,同学A（科技与先进制造组）
002156,通富微电,tech,1.4,0.3,硬科技与半导体,同学A（科技与先进制造组）
600584,长电科技,tech,1.35,0.24,硬科技与半导体,同学A（科技与先进制造组）
688099,晶晨股份,tech,1.3,0.22,硬科技与半导体,同学A（科技与先进制造组）
688126,沪硅产业,tech,1.25,0.15,硬科技与半导体,同学A（科技与先进制造组）
002185,华天科技,tech,1.3,0.18,硬科技与半导体,同学A（科技与先进制造组）
688256,寒武纪,tech,1.7,0.5,硬科技与半导体,同学A（科技与先进制造组）
688521,芯原股份,tech,1.45,0.26,硬科技与半导体,同学A（科技与先进制造组）
688123,聚辰股份,tech,1.4,0.28,硬科技与半导体,同学A（科技与先进制造组）
688608,恒玄科技,tech,1.35,0.25,硬科技与半导体,同学A（科技与先进制造组）
688002,睿创微纳,tech,1.3,0.2,硬科技与半导体,同学A（科技与先进制造组）
300474,景嘉微,tech,1.45,0.28,硬科技与半导体,同学A（科技与先进制造组）
688508,芯朋微,tech,1.3,0.18,硬科技与半导体,同学A（科技与先进制造组）
688766,普冉股份,tech,1.45,0.32,硬科技与半导体,同学A（科技与先进制造组）
688110,东芯股份,tech,1.5,0.36,硬科技与半导体,同学A（科技与先进制造组）
300475,香农芯创,tech,1.55,0.4,硬科技与半导体,同学A（科技与先进制造组）
001309,德明利,tech,1.65,0.48,硬科技与半导体,同学A（科技与先进制造组）
301308,江波龙,tech,1.5,0.35,硬科技与半导体,同学A（科技与先进制造组）
300223,北京君正,tech,1.35,0.22,硬科技与半导体,同学A（科技与先进制造组）
000021,深科技,tech,1.3,0.18,硬科技与半导体,同学A（科技与先进制造组）
300059,东方财富,tech,1.4,0.3,硬科技与半导体,同学A（科技与先进制造组）
600570,恒生电子,tech,1.3,0.2,硬科技与半导体,同学A（科技与先进制造组）
300812,易天股份,tech,1.35,0.15,硬科技与半导体,同学A（科技与先进制造组）
300196,长海股份,tech,1.1,0.08,硬科技与半导体,同学A（科技与先进制造组）
300274,阳光电源,tech,1.4,0.35,硬科技与半导体,同学A（科技与先进制造组）
300014,亿纬锂能,tech,1.35,0.26,硬科技与半导体,同学A（科技与先进制造组）
002460,赣锋锂业,tech,1.3,0.15,硬科技与半导体,同学A（科技与先进制造组）
002466,天齐锂业,tech,1.35,0.18,硬科技与半导体,同学A（科技与先进制造组）
603799,华友钴业,tech,1.3,0.2,硬科技与半导体,同学A（科技与先进制造组）
601766,中国中车,bluechip,0.8,0.15,高端制造与综合工业,同学A（科技与先进制造组）
601668,中国建筑,bluechip,0.75,0.16,高端制造与综合工业,同学A（科技与先进制造组）
601186,中国铁建,bluechip,0.78,0.14,高端制造与综合工业,同学A（科技与先进制造组）
601800,中国交建,bluechip,0.85,0.16,高端制造与综合工业,同学A（科技与先进制造组）
601669,中国电建,bluechip,0.9,0.18,高端制造与综合工业,同学A（科技与先进制造组）
601868,中国能建,bluechip,0.88,0.15,高端制造与综合工业,同学A（科技与先进制造组）
600150,中国船舶,growth,1.3,0.32,高端制造与综合工业,同学A（科技与先进制造组）
600685,中船防务,growth,1.35,0.28,高端制造与综合工业,同学A（科技与先进制造组）
601989,中国重工,growth,1.25,0.22,高端制造与综合工业,同学A（科技与先进制造组）
600893,航发动力,growth,1.15,0.2,高端制造与综合工业,同学A（科技与先进制造组）
000768,中航西飞,growth,1.18,0.22,高端制造与综合工业,同学A（科技与先进制造组）
600760,中航沈飞,growth,1.2,0.25,高端制造与综合工业,同学A（科技与先进制造组）
600031,三一重工,bluechip,1.05,0.2,高端制造与综合工业,同学A（科技与先进制造组）
000157,中联重科,bluechip,1.0,0.18,高端制造与综合工业,同学A（科技与先进制造组）
000425,徐工机械,bluechip,1.02,0.19,高端制造与综合工业,同学A（科技与先进制造组）
601100,恒立液压,growth,1.2,0.26,高端制造与综合工业,同学A（科技与先进制造组）
000338,潍柴动力,bluechip,1.0,0.22,高端制造与综合工业,同学A（科技与先进制造组）
600660,福耀玻璃,bluechip,0.9,0.24,高端制造与综合工业,同学A（科技与先进制造组）
600104,上汽集团,bluechip,0.85,0.12,高端制造与综合工业,同学A（科技与先进制造组）
000625,长安汽车,growth,1.25,0.26,高端制造与综合工业,同学A（科技与先进制造组）
601633,长城汽车,growth,1.2,0.22,高端制造与综合工业,同学A（科技与先进制造组）
601238,广汽集团,bluechip,0.95,0.11,高端制造与综合工业,同学A（科技与先进制造组）
002352,顺丰控股,growth,1.05,0.18,高端制造与综合工业,同学A（科技与先进制造组）
601919,中远海控,global,1.15,0.26,高端制造与综合工业,同学A（科技与先进制造组）
601816,京沪高铁,defensive,0.6,0.14,高端制造与综合工业,同学A（科技与先进制造组）
601006,大秦铁路,defensive,0.55,0.15,高端制造与综合工业,同学A（科技与先进制造组）
600009,上海机场,bluechip,0.85,0.14,高端制造与综合工业,同学A（科技与先进制造组）
600004,白云机场,bluechip,0.88,0.12,高端制造与综合工业,同学A（科技与先进制造组）
601111,中国国航,growth,1.1,0.14,高端制造与综合工业,同学A（科技与先进制造组）
600029,南方航空,growth,1.08,0.13,高端制造与综合工业,同学A（科技与先进制造组）
600115,中国东航,growth,1.06,0.12,高端制造与综合工业,同学A（科技与先进制造组）
601872,招商轮船,global,1.1,0.24,高端制造与综合工业,同学A（科技与先进制造组）
600428,中远海特,global,1.15,0.2,高端制造与综合工业,同学A（科技与先进制造组）
600798,宁波海运,global,1.05,0.12,高端制造与综合工业,同学A（科技与先进制造组）
600278,东方创业,global,0.95,0.1,高端制造与综合工业,同学A（科技与先进制造组）
000089,深圳机场,bluechip,0.8,0.11,高端制造与综合工业,同学A（科技与先进制造组）
600018,上港集团,defensive,0.68,0.13,高端制造与综合工业,同学A（科技与先进制造组）
601018,宁波港,defensive,0.65,0.12,高端制造与综合工业,同学A（科技与先进制造组）
601298,青岛港,defensive,0.62,0.14,高端制造与综合工业,同学A（科技与先进制造组）
600317,营口港,defensive,0.6,0.1,高端制造与综合工业,同学A（科技与先进制造组）
600026,中远海能,global,1.2,0.28,高端制造与综合工业,同学A（科技与先进制造组）
000528,柳工,bluechip,0.98,0.17,高端制造与综合工业,同学A（科技与先进制造组）
600761,安徽合力,bluechip,0.95,0.18,高端制造与综合工业,同学A（科技与先进制造组）
002097,山河智能,growth,1.15,0.14,高端制造与综合工业,同学A（科技与先进制造组）
000680,山推股份,bluechip,1.02,0.16,高端制造与综合工业,同学A（科技与先进制造组）
600835,上海机电,defensive,0.75,0.12,高端制造与综合工业,同学A（科技与先进制造组）
600109,国金证券,bluechip,1.2,0.19,高端制造与综合工业,同学A（科技与先进制造组）
600588,用友网络,tech,1.25,0.16,高端制造与综合工业,同学A（科技与先进制造组）
002236,大华股份,tech,1.18,0.15,高端制造与综合工业,同学A（科技与先进制造组）
300017,网宿科技,tech,1.22,0.17,高端制造与综合工业,同学A（科技与先进制造组）
