code,name,sector,beta,alpha,sub_industry,student_group
600900,长江电力,defensive,0.65,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
601985,中国核电,defensive,0.7,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
600905,三峡能源,growth,0.95,0.12,绿电与清洁公用,同学B（新能源与周期资源组）
600886,国投电力,defensive,0.75,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
600011,华能国际,growth,1.05,0.2,绿电与清洁公用,同学B（新能源与周期资源组）
600795,国电电力,defensive,0.8,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
001289,龙源电力,growth,0.9,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
000591,太阳能,growth,1.0,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
601016,节能风电,growth,0.95,0.12,绿电与清洁公用,同学B（新能源与周期资源组）
001258,立新能源,growth,1.1,0.22,绿电与清洁公用,同学B（新能源与周期资源组）
688223,晶科能源,growth,1.2,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
601012,隆基绿能,growth,1.25,0.08,绿电与清洁公用,同学B（新能源与周期资源组）
600438,通威股份,growth,1.25,0.12,绿电与清洁公用,同学B（新能源与周期资源组）
688599,天合光能,growth,1.2,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
002812,恩捷股份,growth,1.3,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
603659,璞泰来,growth,1.25,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
300450,先导智能,growth,1.3,0.2,绿电与清洁公用,同学B（新能源与周期资源组）
605117,德业股份,growth,1.35,0.28,绿电与清洁公用,同学B（新能源与周期资源组）
688032,禾迈股份,growth,1.4,0.25,绿电与清洁公用,同学B（新能源与周期资源组）
688063,派能科技,growth,1.35,0.2,绿电与清洁公用,同学B（新能源与周期资源组）
600025,华能水电,defensive,0.68,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
600027,华电国际,defensive,0.85,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
600674,川投能源,defensive,0.7,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
600023,浙能电力,defensive,0.78,0.12,绿电与清洁公用,同学B（新能源与周期资源组）
600863,内蒙华电,defensive,0.75,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
000037,深南电A,growth,1.15,0.08,绿电与清洁公用,同学B（新能源与周期资源组）
000539,粤电力A,defensive,0.82,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
600578,京能电力,defensive,0.8,0.11,绿电与清洁公用,同学B（新能源与周期资源组）
600780,通宝能源,defensive,0.76,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
600452,涪陵电力,defensive,0.82,0.13,绿电与清洁公用,同学B（新能源与周期资源组）
601991,大唐发电,defensive,0.85,0.12,绿电与清洁公用,同学B（新能源与周期资源组）
600098,广州发展,defensive,0.75,0.11,绿电与清洁公用,同学B（新能源与周期资源组）
000690,宝新能源,defensive,0.8,0.13,绿电与清洁公用,同学B（新能源与周期资源组）
600167,联美量子,defensive,0.7,0.09,绿电与清洁公用,同学B（新能源与周期资源组）
000862,银星能源,growth,1.05,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
600642,申能股份,defensive,0.72,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
600236,桂冠电力,defensive,0.68,0.13,绿电与清洁公用,同学B（新能源与周期资源组）
000966,杉杉股份,growth,1.2,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
300769,德方纳米,growth,1.35,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
300037,新宙邦,growth,1.25,0.2,绿电与清洁公用,同学B（新能源与周期资源组）
002407,多氟多,growth,1.25,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
300073,当升科技,growth,1.3,0.19,绿电与清洁公用,同学B（新能源与周期资源组）
300568,星源材质,growth,1.28,0.17,绿电与清洁公用,同学B（新能源与周期资源组）
688772,珠海冠宇,growth,1.3,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
688005,容百科技,growth,1.35,0.19,绿电与清洁公用,同学B（新能源与周期资源组）
002709,天赐材料,growth,1.32,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
002074,国轩高科,growth,1.28,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
002080,中材科技,growth,1.15,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
601865,福莱特,growth,1.3,0.22,绿电与清洁公用,同学B（新能源与周期资源组）
600875,东方电气,growth,1.1,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
600547,山东黄金,global,0.9,0.26,黄金有色与周期资源,同学B（新能源与周期资源组）
600489,中金黄金,global,0.88,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
601899,紫金矿业,global,1.1,0.32,黄金有色与周期资源,同学B（新能源与周期资源组）
002155,湖南黄金,global,0.95,0.28,黄金有色与周期资源,同学B（新能源与周期资源组）
000975,银泰黄金,global,0.92,0.25,黄金有色与周期资源,同学B（新能源与周期资源组）
600988,赤峰黄金,global,1.05,0.3,黄金有色与周期资源,同学B（新能源与周期资源组）
601069,西部黄金,global,1.0,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
603993,洛阳钼业,global,1.15,0.28,黄金有色与周期资源,同学B（新能源与周期资源组）
600362,江西铜业,global,1.05,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
000630,铜陵有色,global,1.08,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000878,云南铜业,global,1.1,0.19,黄金有色与周期资源,同学B（新能源与周期资源组）
601600,中国铝业,global,1.12,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
002532,天山铝业,global,1.05,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
600219,南山铝业,global,0.95,0.14,黄金有色与周期资源,同学B（新能源与周期资源组）
600549,厦门钨业,global,1.1,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
600392,盛和资源,global,1.25,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600111,北方稀土,global,1.3,0.25,黄金有色与周期资源,同学B（新能源与周期资源组）
000831,中国稀土,global,1.35,0.26,黄金有色与周期资源,同学B（新能源与周期资源组）
002240,盛新锂能,global,1.3,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002756,永兴材料,global,1.25,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
002738,中矿资源,global,1.28,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
002497,雅化集团,global,1.25,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000960,锡业股份,global,1.15,0.21,黄金有色与周期资源,同学B（新能源与周期资源组）
600961,株冶集团,global,1.08,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
600497,驰宏锌锗,global,1.05,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000060,中金岭南,global,1.08,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600338,西藏珠峰,global,1.2,0.17,黄金有色与周期资源,同学B（新能源与周期资源组）
601168,西部矿业,global,1.1,0.23,黄金有色与周期资源,同学B（新能源与周期资源组）
000688,国城矿业,global,1.15,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002114,罗平锌电,global,1.12,0.12,黄金有色与周期资源,同学B（新能源与周期资源组）
600019,宝钢股份,bluechip,0.85,0.12,黄金有色与周期资源,同学B（新能源与周期资源组）
000932,华菱钢铁,bluechip,0.95,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600585,海螺水泥,bluechip,0.8,0.1,黄金有色与周期资源,同学B（新能源与周期资源组）
600309,万华化学,bluechip,1.05,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600346,恒力石化,bluechip,1.0,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002493,荣盛石化,bluechip,1.05,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
000301,东方盛虹,bluechip,1.1,0.14,黄金有色与周期资源,同学B（新能源与周期资源组）
002648,卫星化学,growth,1.15,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
000792,盐湖股份,growth,1.12,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
000408,藏格矿业,growth,1.18,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600426,华鲁恒升,bluechip,0.95,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
002064,华峰化学,growth,1.05,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600141,兴发集团,growth,1.15,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
600096,云天化,growth,1.1,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
000553,安道麦A,bluechip,0.85,0.08,黄金有色与周期资源,同学B（新能源与周期资源组）
601225,陕西煤业,bluechip,0.7,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
