date,alpha_momentum_20d_1309,alpha_momentum_20d_300475,alpha_momentum_20d_301308,alpha_momentum_20d_688008,alpha_momentum_20d_688525,alpha_volatility_20d_1309,alpha_volatility_20d_300475,alpha_volatility_20d_301308,alpha_volatility_20d_688008,alpha_volatility_20d_688525,alpha_supply_chain_score_1309,alpha_supply_chain_score_300475,alpha_supply_chain_score_301308,alpha_supply_chain_score_688008,alpha_supply_chain_score_688525,alpha_chokepoint_moat_1309,alpha_chokepoint_moat_300475,alpha_chokepoint_moat_301308,alpha_chokepoint_moat_688008,alpha_chokepoint_moat_688525
2025-06-09,0.0,0.0,0.0,0.0,0.0,0.3162,0.3162,0.3162,0.3162,0.3162,0.7565,0.7565,0.7565,0.7565,0.7565,0.88,0.72,0.72,0.72,0.88
2025-06-10,0.0,0.0,0.0,0.0,0.0,0.3162,0.3162,0.3162,0.3162,0.3162,0.7547,0.7547,0.7547,0.7547,0.7547,0.88,0.72,0.72,0.72,0.88
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.3957,0.4961,0.4694,0.3108,0.4454,0.7542,0.7542,0.7542,0.7542,0.7542,0.88,0.72,0.72,0.72,0.88
2025-06-12,0.0,0.0,0.0,0.0,0.0,0.3373,0.4005,0.3335,0.2203,0.3173,0.7537,0.7537,0.7537,0.7537,0.7537,0.88,0.72,0.72,0.72,0.88
2025-06-13,0.0,0.0,0.0,0.0,0.0,0.3557,0.3333,0.343,0.2282,0.2659,0.753,0.753,0.753,0.753,0.753,0.88,0.72,0.72,0.72,0.88
2025-06-16,0.0,0.0,0.0,0.0,0.0,0.3192,0.4039,0.3143,0.2507,0.3123,0.7519,0.7519,0.7519,0.7519,0.7519,0.88,0.72,0.72,0.72,0.88
2025-06-17,0.0,0.0,0.0,0.0,0.0,0.4463,0.4013,0.5623,0.24,0.4591,0.7525,0.7525,0.7525,0.7525,0.7525,0.88,0.72,0.72,0.72,0.88
2025-06-18,0.0,0.0,0.0,0.0,0.0,0.4602,0.4935,0.5781,0.2453,0.4648,0.7537,0.7537,0.7537,0.7537,0.7537,0.88,0.72,0.72,0.72,0.88
2025-06-19,0.0,0.0,0.0,0.0,0.0,0.4654,0.482,0.5517,0.2423,0.4362,0.755,0.755,0.755,0.755,0.755,0.88,0.72,0.72,0.72,0.88
2025-06-20,0.0,0.0,0.0,0.0,0.0,0.5331,0.4804,0.5163,0.2298,0.416,0.7564,0.7564,0.7564,0.7564,0.7564,0.88,0.72,0.72,0.72,0.88
2025-06-23,0.0,0.0,0.0,0.0,0.0,0.5046,0.4561,0.488,0.298,0.418,0.7581,0.7581,0.7581,0.7581,0.7581,0.88,0.72,0.72,0.72,0.88
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.4787,0.4353,0.4632,0.2992,0.4001,0.7593,0.7593,0.7593,0.7593,0.7593,0.88,0.72,0.72,0.72,0.88
2025-06-25,0.0,0.0,0.0,0.0,0.0,0.469,0.4159,0.4416,0.3113,0.3886,0.7602,0.7602,0.7602,0.7602,0.7602,0.88,0.72,0.72,0.72,0.88
2025-06-26,0.0,0.0,0.0,0.0,0.0,0.4702,0.4251,0.4247,0.3008,0.3813,0.7611,0.7611,0.7611,0.7611,0.7611,0.88,0.72,0.72,0.72,0.88
2025-06-27,0.0,0.0,0.0,0.0,0.0,0.4524,0.411,0.4149,0.291,0.3772,0.7627,0.7627,0.7627,0.7627,0.7627,0.88,0.72,0.72,0.72,0.88
2025-06-30,0.0,0.0,0.0,0.0,0.0,0.4715,0.3966,0.4079,0.3004,0.3648,0.7638,0.7638,0.7638,0.7638,0.7638,0.88,0.72,0.72,0.72,0.88
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.4558,0.3925,0.4239,0.2903,0.3525,0.7646,0.7646,0.7646,0.7646,0.7646,0.88,0.72,0.72,0.72,0.88
2025-07-02,0.0,0.0,0.0,0.0,0.0,0.455,0.3973,0.4281,0.2914,0.3604,0.7644,0.7644,0.7644,0.7644,0.7644,0.88,0.72,0.72,0.72,0.88
2025-07-03,0.0,0.0,0.0,0.0,0.0,0.4567,0.4233,0.425,0.3014,0.3497,0.7646,0.7646,0.7646,0.7646,0.7646,0.88,0.72,0.72,0.72,0.88
2025-07-04,0.0,0.0,0.0,0.0,0.0,0.4545,0.4143,0.4312,0.2942,0.3507,0.7638,0.7638,0.7638,0.7638,0.7638,0.88,0.72,0.72,0.72,0.88
2025-07-07,0.0076,0.0817,0.118,-0.0436,0.0374,0.4425,0.4054,0.4261,0.2915,0.343,0.7628,0.7628,0.7628,0.7628,0.7628,0.88,0.72,0.72,0.72,0.88
2025-07-08,0.0241,0.0962,0.1628,0.0134,0.0927,0.4364,0.3988,0.4113,0.3036,0.316,0.762,0.762,0.762,0.762,0.762,0.88,0.72,0.72,0.72,0.88
2025-07-09,0.0119,0.0347,0.1196,-0.0128,0.0789,0.4333,0.4089,0.4216,0.315,0.3193,0.7617,0.7617,0.7617,0.7617,0.7617,0.88,0.72,0.72,0.72,0.88
2025-07-10,-0.0492,-0.0172,0.0997,-0.0057,0.1033,0.454,0.4099,0.4296,0.3133,0.3149,0.7615,0.7615,0.7615,0.7615,0.7615,0.88,0.72,0.72,0.72,0.88
2025-07-11,-0.05,-0.0352,0.1475,0.0514,0.146,0.4544,0.4029,0.4112,0.3094,0.3006,0.7621,0.7621,0.7621,0.7621,0.7621,0.88,0.72,0.72,0.72,0.88
2025-07-14,-0.0335,0.0003,0.1381,0.0401,0.1235,0.4646,0.3938,0.4127,0.3098,0.303,0.7627,0.7627,0.7627,0.7627,0.7627,0.88,0.72,0.72,0.72,0.88
2025-07-15,-0.0863,-0.0237,0.0709,0.0701,0.0495,0.4175,0.3762,0.3412,0.3268,0.2792,0.7624,0.7624,0.7624,0.7624,0.7624,0.88,0.72,0.72,0.72,0.88
2025-07-16,-0.1193,-0.0673,0.0369,0.0551,0.0072,0.3786,0.2941,0.2981,0.3269,0.2575,0.7622,0.7622,0.7622,0.7622,0.7622,0.88,0.72,0.72,0.72,0.88
2025-07-17,-0.1008,-0.0405,0.0481,0.0616,0.0233,0.3761,0.3036,0.2943,0.3293,0.2562,0.7619,0.7619,0.7619,0.7619,0.7619,0.88,0.72,0.72,0.72,0.88
2025-07-18,-0.0717,-0.0652,0.0171,0.0505,0.0096,0.3439,0.3317,0.3069,0.3313,0.2697,0.7607,0.7607,0.7607,0.7607,0.7607,0.88,0.72,0.72,0.72,0.88
2025-07-21,-0.0727,-0.0688,0.0009,0.0762,-0.0065,0.344,0.3314,0.3013,0.2964,0.252,0.7599,0.7599,0.7599,0.7599,0.7599,0.88,0.72,0.72,0.72,0.88
2025-07-22,-0.1052,-0.084,-0.0085,0.0544,-0.032,0.3567,0.3341,0.3003,0.2966,0.2481,0.7593,0.7593,0.7593,0.7593,0.7593,0.88,0.72,0.72,0.72,0.88
2025-07-23,-0.0754,-0.0902,-0.0124,0.0342,-0.0513,0.4127,0.3297,0.2989,0.2878,0.2339,0.759,0.759,0.759,0.759,0.759,0.88,0.72,0.72,0.72,0.88
2025-07-24,-0.0465,-0.0638,0.0372,0.049,-0.0198,0.4038,0.3227,0.3498,0.283,0.2432,0.7589,0.7589,0.7589,0.7589,0.7589,0.88,0.72,0.72,0.72,0.88
2025-07-25,-0.008,-0.0479,0.0268,0.0559,-0.0404,0.4269,0.3278,0.342,0.2846,0.2231,0.7594,0.7594,0.7594,0.7594,0.7594,0.88,0.72,0.72,0.72,0.88
2025-07-28,0.0246,-0.0479,-0.0178,0.0488,-0.0439,0.3997,0.3278,0.3289,0.2791,0.2233,0.7596,0.7596,0.7596,0.7596,0.7596,0.88,0.72,0.72,0.72,0.88
2025-07-29,0.0247,-0.0237,0.0706,0.0614,-0.0306,0.3997,0.3264,0.3764,0.2809,0.2351,0.7604,0.7604,0.7604,0.7604,0.7604,0.88,0.72,0.72,0.72,0.88
2025-07-30,-0.0211,-0.0056,0.0911,0.0872,-0.014,0.3925,0.3146,0.3649,0.2657,0.2205,0.7611,0.7611,0.7611,0.7611,0.7611,0.88,0.72,0.72,0.72,0.88
2025-07-31,0.0139,-0.0595,0.041,0.0333,-0.0413,0.3767,0.2541,0.3571,0.2729,0.2367,0.7608,0.7608,0.7608,0.7608,0.7608,0.88,0.72,0.72,0.72,0.88
2025-08-01,0.0168,-0.0603,0.0509,0.007,-0.0227,0.3794,0.2544,0.3491,0.2985,0.2269,0.7604,0.7604,0.7604,0.7604,0.7604,0.88,0.72,0.72,0.72,0.88
2025-08-04,0.0205,-0.0301,0.0712,0.0489,-0.0135,0.3799,0.2721,0.3436,0.3024,0.2261,0.7601,0.7601,0.7601,0.7601,0.7601,0.88,0.72,0.72,0.72,0.88
2025-08-05,0.0165,-0.0231,0.0643,0.0275,-0.0393,0.3808,0.2723,0.3417,0.2828,0.2202,0.7592,0.7592,0.7592,0.7592,0.7592,0.88,0.72,0.72,0.72,0.88
2025-08-06,0.0083,0.0288,0.0895,0.1236,-0.0114,0.3812,0.2588,0.33,0.354,0.2324,0.7589,0.7589,0.7589,0.7589,0.7589,0.88,0.72,0.72,0.72,0.88
2025-08-07,0.0579,0.08,0.1003,0.1513,-0.009,0.3454,0.2484,0.323,0.3571,0.2342,0.7594,0.7594,0.7594,0.7594,0.7594,0.88,0.72,0.72,0.72,0.88
2025-08-08,0.1058,0.044,0.0855,0.101,-0.0577,0.3347,0.2793,0.322,0.3588,0.2536,0.7592,0.7592,0.7592,0.7592,0.7592,0.88,0.72,0.72,0.72,0.88
2025-08-11,0.1282,0.0591,0.1085,0.0989,-0.0073,0.3599,0.289,0.3245,0.3595,0.3083,0.7599,0.7599,0.7599,0.7599,0.7599,0.88,0.72,0.72,0.72,0.88
2025-08-12,0.1553,0.0924,0.1145,0.0574,0.0193,0.3607,0.3166,0.3252,0.3479,0.297,0.761,0.761,0.761,0.761,0.761,0.88,0.72,0.72,0.72,0.88
2025-08-13,0.1236,0.0448,0.0756,0.0615,0.0367,0.3739,0.3304,0.3323,0.3471,0.2956,0.7618,0.7618,0.7618,0.7618,0.7618,0.88,0.72,0.72,0.72,0.88
2025-08-14,0.1086,0.0017,0.0856,0.0312,-0.0108,0.3791,0.3357,0.3322,0.3487,0.3282,0.7614,0.7614,0.7614,0.7614,0.7614,0.88,0.72,0.72,0.72,0.88
2025-08-15,0.1287,0.0724,0.1278,0.0863,0.0496,0.3701,0.3076,0.3184,0.38,0.3343,0.7625,0.7625,0.7625,0.7625,0.7625,0.88,0.72,0.72,0.72,0.88
2025-08-18,0.1403,0.1079,0.1259,0.0938,0.0575,0.3672,0.3197,0.3189,0.3748,0.3385,0.7631,0.7631,0.7631,0.7631,0.7631,0.88,0.72,0.72,0.72,0.88
2025-08-19,0.151,0.1164,0.1167,0.0759,0.0633,0.356,0.3141,0.3229,0.3859,0.3361,0.7635,0.7635,0.7635,0.7635,0.7635,0.88,0.72,0.72,0.72,0.88
2025-08-20,0.0916,0.1184,0.1376,0.1126,0.0739,0.2956,0.3144,0.3298,0.4027,0.3368,0.7639,0.7639,0.7639,0.7639,0.7639,0.88,0.72,0.72,0.72,0.88
2025-08-21,0.1481,0.1587,0.0851,0.0903,0.044,0.3459,0.3372,0.2858,0.4113,0.334,0.765,0.765,0.765,0.765,0.765,0.88,0.72,0.72,0.72,0.88
2025-08-22,0.1337,0.1688,0.109,0.1727,0.0917,0.3339,0.3405,0.3086,0.5052,0.3745,0.7665,0.7665,0.7665,0.7665,0.7665,0.88,0.72,0.72,0.72,0.88
2025-08-25,0.1539,0.2008,0.1269,0.1875,0.0886,0.3278,0.347,0.3001,0.5098,0.3756,0.7673,0.7673,0.7673,0.7673,0.7673,0.88,0.72,0.72,0.72,0.88
2025-08-26,0.1349,0.2713,0.0853,0.1921,0.064,0.3358,0.4054,0.2324,0.5103,0.372,0.7682,0.7682,0.7682,0.7682,0.7682,0.88,0.72,0.72,0.72,0.88
2025-08-27,0.1391,0.2332,0.0792,0.2423,0.084,0.3325,0.4369,0.2357,0.5244,0.3705,0.7692,0.7692,0.7692,0.7692,0.7692,0.88,0.72,0.72,0.72,0.88
2025-08-28,0.1476,0.2298,0.106,0.3847,0.1433,0.3328,0.4385,0.2245,0.5684,0.3621,0.7709,0.7709,0.7709,0.7709,0.7709,0.88,0.72,0.72,0.72,0.88
2025-08-29,0.073,0.2603,0.0875,0.4989,0.1103,0.3576,0.4326,0.251,0.5446,0.3843,0.7709,0.7709,0.7709,0.7709,0.7709,0.88,0.72,0.72,0.72,0.88
