,count,mean,std,min,25%,50%,75%,max
alpha_momentum_20d_1309,300.0,0.15591966666666668,0.3263099478308931,-0.6267,-0.031400000000000004,0.10505,0.367375,1.2849
alpha_momentum_20d_300475,300.0,0.15702100000000002,0.3637042777649838,-0.5189,-0.059699999999999996,0.05785,0.30435,1.5408
alpha_momentum_20d_301308,300.0,0.15118033333333333,0.31027302732406237,-0.5311,0.0,0.07955000000000001,0.2951,1.0874
alpha_momentum_20d_688008,300.0,0.08734166666666666,0.22864778619307075,-0.3423,-0.08562499999999999,0.04015,0.216225,0.8053
alpha_momentum_20d_688525,300.0,0.12246966666666666,0.2533614452114231,-0.5759,-0.0017,0.0928,0.270475,0.7689
alpha_volatility_20d_1309,300.0,0.7105266666666668,0.21164684163515413,0.2956,0.5622,0.73185,0.862225,1.1855
alpha_volatility_20d_300475,300.0,0.8431026666666666,0.31147589350328186,0.2484,0.667925,0.8295,1.1269500000000001,1.3921
alpha_volatility_20d_301308,300.0,0.7734276666666666,0.26454068758102545,0.2245,0.6046,0.7964,0.9428,1.2883
alpha_volatility_20d_688008,300.0,0.6296793333333333,0.28882942387021365,0.2203,0.384425,0.5829500000000001,0.7617750000000001,1.464
alpha_volatility_20d_688525,300.0,0.7597283333333333,0.27980753818527937,0.2202,0.53835,0.8184,0.926075,1.3657
alpha_supply_chain_score_1309,300.0,0.9486763333333332,0.17604226121113642,0.7519,0.7865,0.8795,1.059275,1.4703
alpha_supply_chain_score_300475,300.0,0.9486763333333332,0.17604226121113642,0.7519,0.7865,0.8795,1.059275,1.4703
alpha_supply_chain_score_301308,300.0,0.9486763333333332,0.17604226121113642,0.7519,0.7865,0.8795,1.059275,1.4703
alpha_supply_chain_score_688008,300.0,0.9486763333333332,0.17604226121113642,0.7519,0.7865,0.8795,1.059275,1.4703
alpha_supply_chain_score_688525,300.0,0.9486763333333332,0.17604226121113642,0.7519,0.7865,0.8795,1.059275,1.4703
alpha_chokepoint_moat_1309,300.0,0.88,0.0,0.88,0.88,0.88,0.88,0.88
alpha_chokepoint_moat_300475,300.0,0.7199999999999999,1.1120780351495294e-16,0.72,0.72,0.72,0.72,0.72
alpha_chokepoint_moat_301308,300.0,0.7199999999999999,1.1120780351495294e-16,0.72,0.72,0.72,0.72,0.72
alpha_chokepoint_moat_688008,300.0,0.7199999999999999,1.1120780351495294e-16,0.72,0.72,0.72,0.72,0.72
alpha_chokepoint_moat_688525,300.0,0.88,0.0,0.88,0.88,0.88,0.88,0.88
