date,direction,confidence,hit_rate,sample_size,p_value,reason,total_candidates,valid_count,coverage_rate
2025-08-21,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有0天）,6,0,0.0
2025-08-22,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有1天）,6,0,0.0
2025-08-25,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有2天）,6,0,0.0
2025-08-26,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有3天）,6,0,0.0
2025-08-27,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有4天）,6,0,0.0
2025-08-28,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有5天）,6,0,0.0
2025-08-29,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有6天）,6,0,0.0
2025-09-01,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有7天）,6,0,0.0
2025-09-02,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有8天）,6,0,0.0
2025-09-03,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有9天）,6,0,0.0
2025-09-04,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有10天）,6,0,0.0
2025-09-05,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有11天）,6,0,0.0
2025-09-08,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有12天）,6,0,0.0
2025-09-09,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有13天）,6,0,0.0
2025-09-10,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有14天）,6,0,0.0
2025-09-11,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有15天）,6,0,0.0
2025-09-12,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有16天）,6,0,0.0
2025-09-15,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有17天）,6,0,0.0
2025-09-16,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有18天）,6,0,0.0
2025-09-17,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有19天）,6,0,0.0
2025-09-18,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有20天）,6,0,0.0
2025-09-19,invalid,0.0,0.0,0,1.0,历史数据不足30天（当前仅有21天）,6,0,0.0
