network,variant,signal_date,horizon,n_stocks,excluded,pearson_ic,spearman_ic
W-attn,alpha_0.00,2025-04-02,5,99,False,-0.024388403337327186,0.007359307359307359
W-attn,alpha_0.00,2025-04-02,20,99,False,0.025283669632571268,0.05459492888064316
W-attn,alpha_0.00,2025-04-10,5,99,False,0.24787653601944046,0.2608534322820037
W-attn,alpha_0.00,2025-04-10,20,99,False,-0.3333277480251488,-0.3658256029684601
W-attn,alpha_0.00,2025-04-17,5,99,False,-0.09802733924804236,-0.05762523191094619
W-attn,alpha_0.00,2025-04-17,20,99,False,-0.30204030178477836,-0.21678416821273963
W-attn,alpha_0.00,2025-04-24,5,99,False,0.13396981325626142,0.19564625850340137
W-attn,alpha_0.00,2025-04-24,20,99,False,-0.16893857849950444,-0.13918367346938776
W-attn,alpha_0.00,2025-05-06,5,99,False,-0.18854404153204793,-0.15729128014842303
W-attn,alpha_0.00,2025-05-06,20,99,False,-0.28611151750550917,-0.2699072356215213
W-attn,alpha_0.00,2025-05-13,5,99,False,0.2939943622244675,0.17361781076066787
W-attn,alpha_0.00,2025-05-13,20,99,False,0.3465065408171185,0.2777241805813234
W-attn,alpha_0.00,2025-05-20,5,99,False,0.041312283796457044,0.07419913419913418
W-attn,alpha_0.00,2025-05-20,20,99,False,-0.14339532263783866,-0.11035250463821891
W-attn,alpha_0.00,2025-05-27,5,99,False,-0.20843029643494151,-0.21179962894248608
W-attn,alpha_0.00,2025-05-27,20,99,False,-0.36252107124382404,-0.378169449598021
W-attn,alpha_0.00,2025-06-04,5,99,False,-0.08156093856760548,-0.025627705627705628
W-attn,alpha_0.00,2025-06-04,20,99,False,0.04030783259767889,0.07192331478045763
W-attn,alpha_0.00,2025-06-11,5,99,False,0.008108070345133982,-0.07789734075448361
W-attn,alpha_0.00,2025-06-11,20,99,False,0.012160658273800895,0.0613234384662956
W-attn,alpha_0.00,2025-06-18,5,99,False,-0.2985202409507366,-0.28338899196042056
W-attn,alpha_0.00,2025-06-18,20,99,False,-0.16168490964878512,-0.2109461966604824
W-attn,alpha_0.00,2025-06-25,5,99,False,-0.061435187640376296,-0.0025602968460111315
W-attn,alpha_0.00,2025-06-25,20,99,False,-0.15110093787986306,-0.1305256648113791
W-attn,alpha_0.00,2025-07-02,5,99,False,-0.1025949491177077,0.002325293753865182
W-attn,alpha_0.00,2025-07-02,20,99,False,-0.19694585514141819,-0.08958565244279529
W-attn,alpha_0.00,2025-07-09,5,99,False,-0.15057133741470186,-0.046827458256029686
W-attn,alpha_0.00,2025-07-09,20,99,False,-0.04145729033496836,0.03507730364873222
W-attn,alpha_0.00,2025-07-16,5,99,False,-0.13806401803489612,-0.08921459492888063
W-attn,alpha_0.00,2025-07-16,20,97,False,0.21375001839315397,-0.08392068167473173
W-attn,alpha_0.00,2025-07-23,5,99,False,0.14997519126077002,0.03924551638837353
W-attn,alpha_0.00,2025-07-23,20,97,False,0.14093707456044707,-0.061171891436987154
W-attn,alpha_0.00,2025-07-30,5,99,False,0.1481847044181293,0.062708719851577
W-attn,alpha_0.00,2025-07-30,20,97,False,0.10566160635780612,-0.09710972017673047
W-attn,alpha_0.00,2025-08-06,5,97,False,-0.013029469633757495,-0.1839233115926783
W-attn,alpha_0.00,2025-08-06,20,94,False,0.0406837486955383,0.04951052992811472
W-attn,alpha_0.00,2025-08-13,5,97,False,0.2309397223437263,0.37761676835682717
W-attn,alpha_0.00,2025-08-13,20,94,False,0.0682001200493689,0.19930643355127697
W-attn,alpha_0.00,2025-08-20,5,98,False,0.13534070107302065,0.04060593309488743
W-attn,alpha_0.00,2025-08-20,20,95,False,-0.06633960494560617,-0.04759238521836506
W-attn,alpha_0.00,2025-08-27,5,95,False,0.08464570062693112,0.04343505039193729
