network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-attn,alpha_0.00,5,68,1,96.5072463768116,0.00823691671861886,0.17382704572428984,0.04738570275009781,0.3907525151655491,68,0.004283586727541477,0.16635026003727674,0.025750405960180564,0.212343287352718,0.6959801772476495,1.0
W-attn,alpha_0.00,20,65,4,91.76811594202898,0.025158520853912972,0.16907960493900578,0.1487968987329295,1.1996389497323556,65,0.0047712607357676675,0.15343923456046302,0.03109544145886327,0.25069946383848435,0.2302795926752883,1.0
W-attn,alpha_0.05,5,68,1,96.5072463768116,0.008506395136525307,0.1741043642779252,0.048858023587199866,0.40289358381788826,68,0.004520675528675984,0.16634404826580088,0.027176659314268967,0.22410447380831394,0.6870265116228662,1.0
W-attn,alpha_0.05,20,65,4,91.76811594202898,0.025628067782421972,0.1694412954568779,0.15125042400861607,1.2194199028969057,65,0.0053756213291643005,0.15280907661045603,0.03517867818066817,0.283619570736993,0.222684859591608,1.0
W-attn,alpha_0.20,5,68,1,96.5072463768116,0.009419038418730015,0.17433916163251348,0.054027094833599375,0.4455188372883849,68,0.004820094709885599,0.16520162250821344,0.029177042190647703,0.24060005359028677,0.6559448497523741,1.0
W-attn,alpha_0.20,20,65,4,91.76811594202898,0.02713132626878024,0.1700269105875436,0.15957077720829868,1.2865007349496274,65,0.0040895857631016025,0.1516468247215484,0.026967829828358346,0.2174215949884788,0.19826836249118251,1.0
W-attn,alpha_0.60,5,68,1,96.5072463768116,0.012670487359343289,0.16139212055532176,0.07850747183782196,0.6473891975750875,68,0.005722739180209636,0.146735424806441,0.03900039263019488,0.3216054765097081,0.5173800855002972,1.0
W-attn,alpha_0.60,20,65,4,91.76811594202898,0.02943235305016171,0.1559016618756168,0.1887879365496678,1.5220570042328543,65,0.00523227670644776,0.13600706813718183,0.03847062346179163,0.3101600820867055,0.12799479799558133,1.0
W-attn,alpha_0.75,5,68,1,96.5072463768116,0.013370315849512185,0.14547222125110956,0.09190975249104616,0.7579072350899184,68,0.006621837620327892,0.13009771854760843,0.050898952681515876,0.4197235162784104,0.44850651866578284,1.0
W-attn,alpha_0.75,20,65,4,91.76811594202898,0.026305026487104078,0.13591297518498266,0.19354315841664088,1.5603948285747364,65,0.005828792030203473,0.12353245248722157,0.04718429783304443,0.3804119708024889,0.11866660616771485,1.0
W-attn,b0_alpha_0.40,5,68,1,96.5072463768116,0.010924068216826883,0.17168358874896844,0.06362907658459883,0.5246988072376327,68,0.005723653020433261,0.1596580871439866,0.03584944003037831,0.29562205572899153,0.5997925866163107,1.0
W-attn,b0_alpha_0.40,20,65,4,91.76811594202898,0.029060547345117482,0.16776747691899088,0.1732191952743607,1.3965377992547539,65,0.0044105267743515825,0.14678939831841264,0.030046630239496965,0.2422436774586459,0.1625526062011482,1.0
