network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-attn,alpha_0.00,5,0.0,gross_return,68,1,0.003989747686450006,0.0338059377178902,0.643014705882353,0.003989747686450006,-0.003387273053978919,0.011504144627241288,0.003864685337856112,68,2,2000,42
W-attn,alpha_0.00,5,0.0,net_return,68,1,0.003989747686450006,0.0338059377178902,0.643014705882353,0.003989747686450006,-0.003387273053978919,0.011504144627241288,0.003864685337856112,68,2,2000,42
W-attn,alpha_0.00,5,15.0,gross_return,68,1,0.003989747686450006,0.0338059377178902,0.643014705882353,0.003989747686450006,-0.003387273053978919,0.011504144627241288,0.003864685337856112,68,2,2000,42
W-attn,alpha_0.00,5,15.0,net_return,68,1,0.002060703568802948,0.03386234718073462,0.643014705882353,0.002060703568802948,-0.0053520248922142135,0.009583877816478535,0.0038672891196973877,68,2,2000,42
W-attn,alpha_0.00,20,0.0,gross_return,65,4,0.02367627695690329,0.07121006966254276,0.6498785425101214,0.02367627695690329,0.006343951136320954,0.0411559892491831,0.00881564856169787,65,2,2000,42
W-attn,alpha_0.00,20,0.0,net_return,65,4,0.02367627695690329,0.07121006966254276,0.6498785425101214,0.02367627695690329,0.006343951136320954,0.0411559892491831,0.00881564856169787,65,2,2000,42
W-attn,alpha_0.00,20,15.0,gross_return,65,4,0.02367627695690329,0.07121006966254276,0.6498785425101214,0.02367627695690329,0.006343951136320954,0.0411559892491831,0.00881564856169787,65,2,2000,42
W-attn,alpha_0.00,20,15.0,net_return,65,4,0.021726641329372923,0.07132397125019703,0.6498785425101214,0.021726641329372923,0.004377122959519701,0.0392949991247426,0.008833534469055104,65,2,2000,42
W-attn,alpha_0.05,5,0.0,gross_return,68,1,0.0041883298569593275,0.03298628139913865,0.6459752321981425,0.0041883298569593275,-0.003150004872245739,0.01164174248385477,0.003784523175361413,68,2,2000,42
W-attn,alpha_0.05,5,0.0,net_return,68,1,0.0041883298569593275,0.03298628139913865,0.6459752321981425,0.0041883298569593275,-0.003150004872245739,0.01164174248385477,0.003784523175361413,68,2,2000,42
W-attn,alpha_0.05,5,15.0,gross_return,68,1,0.0041883298569593275,0.03298628139913865,0.6459752321981425,0.0041883298569593275,-0.003150004872245739,0.01164174248385477,0.003784523175361413,68,2,2000,42
W-attn,alpha_0.05,5,15.0,net_return,68,1,0.002250404160364899,0.03304527704463237,0.6459752321981425,0.002250404160364899,-0.005094056246084749,0.00971582495251266,0.0037871510396331265,68,2,2000,42
W-attn,alpha_0.05,20,0.0,gross_return,65,4,0.024483168186466297,0.07154513405518961,0.6518825910931174,0.024483168186466297,0.007268090579691436,0.04216886499451045,0.008911639820096065,65,2,2000,42
W-attn,alpha_0.05,20,0.0,net_return,65,4,0.024483168186466297,0.07154513405518961,0.6518825910931174,0.024483168186466297,0.007268090579691436,0.04216886499451045,0.008911639820096065,65,2,2000,42
W-attn,alpha_0.05,20,15.0,gross_return,65,4,0.024483168186466297,0.07154513405518961,0.6518825910931174,0.024483168186466297,0.007268090579691436,0.04216886499451045,0.008911639820096065,65,2,2000,42
W-attn,alpha_0.05,20,15.0,net_return,65,4,0.02252752041318694,0.07166606405739104,0.6518825910931174,0.02252752041318694,0.005266220196503735,0.04031109585575448,0.008929718194479241,65,2,2000,42
W-attn,alpha_0.20,5,0.0,gross_return,68,1,0.003564871008794085,0.033752169705514756,0.6449109907120744,0.003564871008794085,-0.004226320208989161,0.011059394869774144,0.003934538745367265,68,2,2000,42
W-attn,alpha_0.20,5,0.0,net_return,68,1,0.003564871008794085,0.033752169705514756,0.6449109907120744,0.003564871008794085,-0.004226320208989161,0.011059394869774144,0.003934538745367265,68,2,2000,42
W-attn,alpha_0.20,5,15.0,gross_return,68,1,0.003564871008794085,0.033752169705514756,0.6449109907120744,0.003564871008794085,-0.004226320208989161,0.011059394869774144,0.003934538745367265,68,2,2000,42
