network,variant,horizon,metric,block_trading_days,is_sensitivity,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.00,5,pearson_ic,10,False,0.02537438207832172,-0.0026382733776101975,0.05378591958402349,0.014376563537094978,339,10,2000,42
W-corr,alpha_0.00,5,spearman_ic,10,False,0.00421502584849279,-0.026719648340529374,0.0369702686917827,0.016341544289916913,339,10,2000,42
W-corr,alpha_0.00,5,pearson_ic,40,False,0.02537438207832172,0.0034373054814367736,0.04585738688566314,0.01092193027266348,339,40,2000,42
W-corr,alpha_0.00,5,spearman_ic,40,False,0.00421502584849279,-0.019057897841699145,0.026608888823456422,0.011561727499162696,339,40,2000,42
W-corr,alpha_0.00,5,pearson_ic,5,True,0.02537438207832172,-0.004479383320953068,0.054189382608482495,0.01503403926144115,339,5,2000,42
W-corr,alpha_0.00,5,spearman_ic,5,True,0.00421502584849279,-0.02601169927099983,0.034865911203068194,0.015753425902723578,339,5,2000,42
W-corr,alpha_0.00,5,pearson_ic,20,True,0.02537438207832172,0.002539438626279154,0.04829151361101608,0.012063626611633597,339,20,2000,42
W-corr,alpha_0.00,5,spearman_ic,20,True,0.00421502584849279,-0.025127441254407114,0.033829395430452346,0.014918561367425727,339,20,2000,42
W-corr,alpha_0.00,20,pearson_ic,10,False,0.0065522992210361964,-0.03344703945646051,0.044712701039796875,0.019133314917540074,324,10,2000,42
W-corr,alpha_0.00,20,spearman_ic,10,False,0.0017605081586254078,-0.04467424328057765,0.04615641239455119,0.022514594331553114,324,10,2000,42
W-corr,alpha_0.00,20,pearson_ic,40,False,0.0065522992210361964,-0.030054857401996586,0.04457877448612504,0.01879036183809056,324,40,2000,42
W-corr,alpha_0.00,20,spearman_ic,40,False,0.0017605081586254078,-0.04468488122913163,0.04744092700117866,0.023959488294404432,324,40,2000,42
W-corr,alpha_0.00,20,pearson_ic,5,True,0.0065522992210361964,-0.02502524572722689,0.038424758869238414,0.016139984075958992,324,5,2000,42
W-corr,alpha_0.00,20,spearman_ic,5,True,0.0017605081586254078,-0.03391101456545528,0.03790331224281608,0.018448550409900455,324,5,2000,42
W-corr,alpha_0.00,20,pearson_ic,20,True,0.0065522992210361964,-0.03602045772221359,0.04673930535505317,0.021017307236929177,324,20,2000,42
W-corr,alpha_0.00,20,spearman_ic,20,True,0.0017605081586254078,-0.04818423687990342,0.04889444013528767,0.025152959107136885,324,20,2000,42
