network,variant,signal_date,horizon,n_stocks,excluded,pearson_ic,spearman_ic
W-corr,alpha_0.00,2025-04-02,5,100,False,0.25451631947820447,0.2725352535253525
W-corr,alpha_0.00,2025-04-02,20,100,False,0.2864168059481744,0.27003900390039
W-corr,alpha_0.00,2025-04-03,5,100,False,-0.1533762541204766,-0.06111011101110111
W-corr,alpha_0.00,2025-04-03,20,100,False,-0.08840266715313658,0.009720972097209719
W-corr,alpha_0.00,2025-04-07,5,100,False,-0.3244531095570052,-0.382034203420342
W-corr,alpha_0.00,2025-04-07,20,100,False,-0.3132611782392338,-0.30169816981698167
W-corr,alpha_0.00,2025-04-08,5,100,False,-0.14925671638140922,-0.31920792079207916
W-corr,alpha_0.00,2025-04-08,20,100,False,-0.20254682873742114,-0.16729672967296727
W-corr,alpha_0.00,2025-04-09,5,100,False,-0.06373256004311212,-0.3157225194209212
W-corr,alpha_0.00,2025-04-09,20,100,False,-0.28075444183215387,-0.2755235523552355
W-corr,alpha_0.00,2025-04-10,5,100,False,0.3170828186223358,0.1598204615082546
W-corr,alpha_0.00,2025-04-10,20,100,False,-0.25145866732884486,-0.17624962496249622
W-corr,alpha_0.00,2025-04-11,5,100,False,0.2909957127876298,0.2235963720136061
W-corr,alpha_0.00,2025-04-11,20,100,False,-0.18021100618614694,-0.16027602760276025
W-corr,alpha_0.00,2025-04-14,5,100,False,0.5032145824551115,0.3891220795759475
W-corr,alpha_0.00,2025-04-14,20,100,False,-0.18212315178754637,-0.12404440444044404
W-corr,alpha_0.00,2025-04-15,5,100,False,0.47610047655902854,0.3442945610156258
W-corr,alpha_0.00,2025-04-15,20,100,False,-0.09943299567396163,-0.04694869486948694
W-corr,alpha_0.00,2025-04-16,5,100,False,-0.26126451376766113,-0.18168616861686168
W-corr,alpha_0.00,2025-04-16,20,100,False,-0.278646643310328,-0.20988898889888988
W-corr,alpha_0.00,2025-04-17,5,100,False,-0.15938670579842673,-0.18985898589858985
