network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-corr,alpha_0.00,5,339,5,98.37209302325581,0.02537438207832172,0.19506435361472052,0.13008210679250853,2.395065589512906,339,0.00421502584849279,0.19723484679761413,0.021370594075690367,0.39347436600005975,0.016617392386599317,0.4984835896455131
W-corr,alpha_0.00,20,324,20,94.01744186046511,0.0065522992210361964,0.17199442448054367,0.03809599782565862,0.6857279608618551,324,0.0017605081586254078,0.19098054589642346,0.00921825911828843,0.16592866412919174,0.49288467129219393,1.0
W-corr,alpha_0.05,5,339,5,98.37209302325581,0.026042991934635554,0.19726950410248173,0.13201732347391207,2.4306967073981207,339,0.004971098978096213,0.20013248276810675,0.024839041165827233,0.45733524955634747,0.015069823358174084,0.4671645241033966
W-corr,alpha_0.05,20,324,20,94.01744186046511,0.0070750853722861,0.17460149887018675,0.04052133239443898,0.7293839830999016,324,0.002366583948501656,0.1937783355341667,0.012212840728443471,0.21983113311198246,0.46576681255440633,1.0
W-corr,alpha_0.20,5,339,5,98.37209302325581,0.028264179297061393,0.2049895681499566,0.13788106171522455,2.5386595781877195,339,0.006893347745981642,0.20949011801191164,0.03290535998261114,0.6058519295862577,0.011127804160284471,0.3560897331291031
W-corr,alpha_0.20,20,324,20,94.01744186046511,0.008845392485491725,0.18369761998131368,0.04815191664645142,0.8667344996361257,324,0.003823245604823575,0.20319254907023795,0.018815875002886975,0.3386857500519655,0.3860874979619773,1.0
W-corr,alpha_0.60,5,339,5,98.37209302325581,0.03552487873355332,0.23576034835060214,0.15068216085566616,2.7743528092953564,339,0.016068708014302772,0.2466383251415532,0.06515089658138269,1.1995552222788117,0.005531165722802767,0.20465313174370237
W-corr,alpha_0.60,20,324,20,94.01744186046511,0.015245689642844762,0.2197773042300156,0.06936880810444765,1.2486385458800575,324,0.011483010578666693,0.24092954825553775,0.04766127966374401,0.8579030339473922,0.2117973073078392,1.0
W-corr,alpha_0.75,5,339,5,98.37209302325581,0.038065551175585834,0.24969015431160982,0.15245115002844908,2.8069233541644625,339,0.021523175650423446,0.26551078783449383,0.08106328117951998,1.4925332938815743,0.005001714090965503,0.19006513545668913
W-corr,alpha_0.75,20,324,20,94.01744186046511,0.018050909187081205,0.23666349499346387,0.07627246942998003,1.3729044497396405,324,0.01627583246617468,0.26079059407461574,0.06240958391895814,1.1233725105412466,0.16978205308870864,1.0
W-corr,b0_alpha_0.40,5,339,5,98.37209302325581,0.031729232950826636,0.21841706637181946,0.1452690189365184,2.6746862966489964,339,0.01109174863480018,0.22549390858957635,0.049188684094293555,0.9056597219445405,0.00747992049380608,0.2692771377770189
W-corr,b0_alpha_0.40,20,324,20,94.01744186046511,0.011742623255375178,0.1994309347040177,0.05888065095218457,1.0598517171393222,324,0.007405487096216066,0.21910503968544526,0.033798798543600996,0.608378373784818,0.2892120643251377,1.0
W-corr,gate_V1,5,339,5,98.37209302325581,0.031729232950826636,0.21841706637181946,0.1452690189365184,2.6746862966489964,339,0.01109174863480018,0.22549390858957635,0.049188684094293555,0.9056597219445405,0.00747992049380608,0.2692771377770189
W-corr,gate_V1,20,324,20,94.01744186046511,0.011742623255375178,0.1994309347040177,0.05888065095218457,1.0598517171393222,324,0.007405487096216066,0.21910503968544526,0.033798798543600996,0.608378373784818,0.2892120643251377,1.0
W-corr,gate_V2,5,339,5,98.37209302325581,0.031729232950826636,0.21841706637181946,0.1452690189365184,2.6746862966489964,339,0.01109174863480018,0.22549390858957635,0.049188684094293555,0.9056597219445405,0.00747992049380608,0.2692771377770189
W-corr,gate_V2,20,324,20,94.01744186046511,0.011742623255375178,0.1994309347040177,0.05888065095218457,1.0598517171393222,324,0.007405487096216066,0.21910503968544526,0.033798798543600996,0.608378373784818,0.2892120643251377,1.0
W-corr,gate_V3,5,339,5,98.37209302325581,0.031729232950826636,0.21841706637181946,0.1452690189365184,2.6746862966489964,339,0.01109174863480018,0.22549390858957635,0.049188684094293555,0.9056597219445405,0.00747992049380608,0.2692771377770189
W-corr,gate_V3,20,324,20,94.01744186046511,0.011742623255375178,0.1994309347040177,0.05888065095218457,1.0598517171393222,324,0.007405487096216066,0.21910503968544526,0.033798798543600996,0.608378373784818,0.2892120643251377,1.0
