network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-attn,alpha_0.00,5,6,0,99.0,0.06081348789712523,0.19462101643246893,0.3124713302390277,0.7653953183343133,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.44403617991528477,1.0
W-attn,alpha_0.00,20,6,0,99.0,-0.11977132256087486,0.2635795150582617,-0.4544030006823579,-1.113055489261333,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.265684598595616,1.0
W-attn,alpha_0.05,5,6,0,99.0,0.06295968403924257,0.19460068365895766,0.3235326970874415,0.7924900229706648,6,0.07458462172747887,0.16284419077438603,0.45801217330996363,1.121896120592587,0.4280750069372625,1.0
W-attn,alpha_0.05,20,6,0,99.0,-0.11803124562811619,0.2650646901501797,-0.44529222493287335,-1.0907387375141728,6,-0.10587301587301584,0.23704077967017737,-0.4466447335362691,-1.094051693465217,0.2753878600667139,1.0
W-attn,alpha_0.20,5,6,0,99.0,0.07016527113151531,0.1938687839515449,0.36192144862812087,0.8865228761078109,6,0.08304061018346731,0.1537409201432758,0.5401334277567693,1.3230512910245251,0.3753358325993619,1.0
W-attn,alpha_0.20,20,6,0,99.0,-0.11076753968439067,0.269033014595766,-0.4117247091433138,-1.0085154518969346,6,-0.0985343228200371,0.23959355729040382,-0.4112561453420333,-1.0073677096718583,0.31320707352504007,1.0
W-attn,alpha_0.60,5,6,0,99.0,0.09361539985879597,0.17500373347222167,0.5349337297061467,1.3103146839839555,6,0.10946815089672231,0.12340978265864123,0.8870297681304382,2.172770318578849,0.19008940197843893,1.0
W-attn,alpha_0.60,20,6,0,99.0,-0.06225125744459361,0.25276689941139674,-0.24627930947269763,-0.6032586424130968,6,-0.058670377241805814,0.22113262119276078,-0.2653176040936221,-0.6498927498071355,0.5463366413642055,1.0
W-attn,alpha_0.75,5,6,0,99.0,0.09858020524854254,0.14655659861859777,0.6726425570580409,1.6476310440731197,6,0.10980622552051122,0.11421251123641699,0.961420288651347,2.3549891355551167,0.09942840599078107,1.0
W-attn,alpha_0.75,20,6,0,99.0,-0.029817838809002156,0.21263246927646917,-0.140231823062885,-0.3434964122043223,6,-0.030981240981240995,0.20677344192940145,-0.14983181927115624,-0.36701150444724007,0.731225039475641,1.0
W-attn,b0_alpha_0.40,5,6,0,99.0,0.08154363051778513,0.1896633111826232,0.42993887436283507,1.0531308627755098,6,0.10004741290455572,0.14556925006102756,0.6872839755828409,1.683495048569413,0.29228101967584386,1.0
W-attn,b0_alpha_0.40,20,6,0,99.0,-0.09352083568851068,0.2698482173165999,-0.3465682916807532,-0.8489154756458935,6,-0.08300968872397442,0.23863286595125932,-0.34785522267887914,-0.8520677999254727,0.39592832689000046,1.0
W-attn,gate_V1,5,6,0,99.0,0.08154363051778513,0.1896633111826232,0.42993887436283507,1.0531308627755098,6,0.10004741290455572,0.14556925006102756,0.6872839755828409,1.683495048569413,0.29228101967584386,1.0
W-attn,gate_V1,20,6,0,99.0,-0.09352083568851068,0.2698482173165999,-0.3465682916807532,-0.8489154756458935,6,-0.08300968872397442,0.23863286595125932,-0.34785522267887914,-0.8520677999254727,0.39592832689000046,1.0
W-attn,gate_V2,5,6,0,99.0,0.08154363051778513,0.1896633111826232,0.42993887436283507,1.0531308627755098,6,0.10004741290455572,0.14556925006102756,0.6872839755828409,1.683495048569413,0.29228101967584386,1.0
W-attn,gate_V2,20,6,0,99.0,-0.09352083568851068,0.2698482173165999,-0.3465682916807532,-0.8489154756458935,6,-0.08300968872397442,0.23863286595125932,-0.34785522267887914,-0.8520677999254727,0.39592832689000046,1.0
W-attn,gate_V3,5,6,0,99.0,0.08154363051778513,0.1896633111826232,0.42993887436283507,1.0531308627755098,6,0.10004741290455572,0.14556925006102756,0.6872839755828409,1.683495048569413,0.29228101967584386,1.0
W-attn,gate_V3,20,6,0,99.0,-0.09352083568851068,0.2698482173165999,-0.3465682916807532,-0.8489154756458935,6,-0.08300968872397442,0.23863286595125932,-0.34785522267887914,-0.8520677999254727,0.39592832689000046,1.0
W-corr,alpha_0.00,5,6,0,99.0,0.06081348789712523,0.19462101643246893,0.3124713302390277,0.7653953183343133,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.44403617991528477,1.0
W-corr,alpha_0.00,20,6,0,99.0,-0.11977132256087486,0.2635795150582617,-0.4544030006823579,-1.113055489261333,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.265684598595616,1.0
W-corr,alpha_0.05,5,6,0,99.0,0.06048493991428496,0.19536339501373778,0.30960221545101485,0.7583674510902083,6,0.07133992991135847,0.16561960002451306,0.4307456961663932,1.0551071645075794,0.448231037717427,1.0
W-corr,alpha_0.05,20,6,0,99.0,-0.121445202194728,0.2651566219771846,-0.4580130840751839,-1.1218983515026522,6,-0.10995258709544424,0.23767343200910865,-0.46262043748848797,-1.1331840164299176,0.26190566167843055,1.0
W-corr,alpha_0.20,5,6,0,99.0,0.05923546980470107,0.1981255626102261,0.2989794402312207,0.7323470721494313,6,0.07083075654504226,0.1698707229319107,0.4169685942493655,1.0213602946765417,0.46395675509702317,1.0
W-corr,alpha_0.20,20,6,0,99.0,-0.12754364240632032,0.270841515247605,-0.4709161455167577,-1.1535042681542884,6,-0.11403628117913832,0.24280494351399493,-0.46966210625182525,-1.150432511837789,0.24870346670727805,1.0
