network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-attn,alpha_0.00,5,0.0,gross_return,6,0,0.010052063828478947,0.02481103931490134,0.7250000000000001,0.010052063828478947,0.00023215072453966826,0.021503703286146772,0.005791811977240836,6,2,200,42
W-attn,alpha_0.00,5,0.0,net_return,6,0,0.010052063828478947,0.02481103931490134,0.7250000000000001,0.010052063828478947,0.00023215072453966826,0.021503703286146772,0.005791811977240836,6,2,200,42
W-attn,alpha_0.00,5,15.0,gross_return,6,0,0.010052063828478947,0.02481103931490134,0.7250000000000001,0.010052063828478947,0.00023215072453966826,0.021503703286146772,0.005791811977240836,6,2,200,42
W-attn,alpha_0.00,5,15.0,net_return,6,0,0.007877063828478947,0.02469101481890333,0.7250000000000001,0.007877063828478947,-0.001680349275460332,0.01907243767517,0.005632193692931445,6,2,200,42
W-attn,alpha_0.00,20,0.0,gross_return,6,0,-0.03079710646633867,0.0518805401939017,0.7250000000000001,-0.03079710646633867,-0.06412033030317169,0.0025397646822403475,0.018712984099833473,6,2,200,42
W-attn,alpha_0.00,20,0.0,net_return,6,0,-0.03079710646633867,0.0518805401939017,0.7250000000000001,-0.03079710646633867,-0.06412033030317169,0.0025397646822403475,0.018712984099833473,6,2,200,42
W-attn,alpha_0.00,20,15.0,gross_return,6,0,-0.03079710646633867,0.0518805401939017,0.7250000000000001,-0.03079710646633867,-0.06412033030317169,0.0025397646822403475,0.018712984099833473,6,2,200,42
W-attn,alpha_0.00,20,15.0,net_return,6,0,-0.03297210646633866,0.05156674332887392,0.7250000000000001,-0.03297210646633866,-0.06607033030317168,0.00014101468224035236,0.018555185941159156,6,2,200,42
W-attn,alpha_0.05,5,0.0,gross_return,6,0,0.009569398579671234,0.024070728226603437,0.7291666666666666,0.009569398579671234,0.0003126489729404272,0.019934960167122494,0.005498111634492165,6,2,200,42
W-attn,alpha_0.05,5,0.0,net_return,6,0,0.009569398579671234,0.024070728226603437,0.7291666666666666,0.009569398579671234,0.0003126489729404272,0.019934960167122494,0.005498111634492165,6,2,200,42
W-attn,alpha_0.05,5,15.0,gross_return,6,0,0.009569398579671234,0.024070728226603437,0.7291666666666666,0.009569398579671234,0.0003126489729404272,0.019934960167122494,0.005498111634492165,6,2,200,42
W-attn,alpha_0.05,5,15.0,net_return,6,0,0.007381898579671235,0.023969341086357638,0.7291666666666666,0.007381898579671235,-0.0016248510270595728,0.01753496016712249,0.005341910949478336,6,2,200,42
W-attn,alpha_0.05,20,0.0,gross_return,6,0,-0.030992342678394267,0.05224215497611897,0.7291666666666666,-0.030992342678394267,-0.06388289365190508,0.0030923013691454703,0.018727839258515677,6,2,200,42
W-attn,alpha_0.05,20,0.0,net_return,6,0,-0.030992342678394267,0.05224215497611897,0.7291666666666666,-0.030992342678394267,-0.06388289365190508,0.0030923013691454703,0.018727839258515677,6,2,200,42
W-attn,alpha_0.05,20,15.0,gross_return,6,0,-0.030992342678394267,0.05224215497611897,0.7291666666666666,-0.030992342678394267,-0.06388289365190508,0.0030923013691454703,0.018727839258515677,6,2,200,42
W-attn,alpha_0.05,20,15.0,net_return,6,0,-0.033179842678394265,0.0519488214390756,0.7291666666666666,-0.033179842678394265,-0.0657357061519051,0.0006802315809251973,0.01857440514007143,6,2,200,42
W-attn,alpha_0.20,5,0.0,gross_return,6,0,0.012881615827879188,0.023345320720480015,0.7208333333333333,0.012881615827879188,0.0025483906629847255,0.023246821395113523,0.005544308502437378,6,2,200,42
W-attn,alpha_0.20,5,0.0,net_return,6,0,0.012881615827879188,0.023345320720480015,0.7208333333333333,0.012881615827879188,0.0025483906629847255,0.023246821395113523,0.005544308502437378,6,2,200,42
W-attn,alpha_0.20,5,15.0,gross_return,6,0,0.012881615827879188,0.023345320720480015,0.7208333333333333,0.012881615827879188,0.0025483906629847255,0.023246821395113523,0.005544308502437378,6,2,200,42
W-attn,alpha_0.20,5,15.0,net_return,6,0,0.01071911582787919,0.02324923462080065,0.7208333333333333,0.01071911582787919,0.0004108906629847267,0.020859321395113522,0.0053897403917873895,6,2,200,42
W-attn,alpha_0.20,20,0.0,gross_return,6,0,-0.03130752513875345,0.05051471632491229,0.7208333333333333,-0.03130752513875345,-0.0625497287819039,0.0014026190726382035,0.018310581442835944,6,2,200,42
W-attn,alpha_0.20,20,0.0,net_return,6,0,-0.03130752513875345,0.05051471632491229,0.7208333333333333,-0.03130752513875345,-0.0625497287819039,0.0014026190726382035,0.018310581442835944,6,2,200,42
W-attn,alpha_0.20,20,15.0,gross_return,6,0,-0.03130752513875345,0.05051471632491229,0.7208333333333333,-0.03130752513875345,-0.0625497287819039,0.0014026190726382035,0.018310581442835944,6,2,200,42
W-attn,alpha_0.20,20,15.0,net_return,6,0,-0.03347002513875345,0.05019639965436417,0.7208333333333333,-0.03347002513875345,-0.0644387912819039,-0.0009711309273617938,0.018157541629200268,6,2,200,42
W-attn,alpha_0.60,5,0.0,gross_return,6,0,0.013869416998600026,0.020608426928718903,0.7416666666666667,0.013869416998600026,0.006349925255948513,0.020763291990079345,0.004168039690536026,6,2,200,42
W-attn,alpha_0.60,5,0.0,net_return,6,0,0.013869416998600026,0.020608426928718903,0.7416666666666667,0.013869416998600026,0.006349925255948513,0.020763291990079345,0.004168039690536026,6,2,200,42
W-attn,alpha_0.60,5,15.0,gross_return,6,0,0.013869416998600026,0.020608426928718903,0.7416666666666667,0.013869416998600026,0.006349925255948513,0.020763291990079345,0.004168039690536026,6,2,200,42
W-attn,alpha_0.60,5,15.0,net_return,6,0,0.011644416998600029,0.020476088332334986,0.7416666666666667,0.011644416998600029,0.004237425255948513,0.018334229490079342,0.004044072610148423,6,2,200,42
W-attn,alpha_0.60,20,0.0,gross_return,6,0,-0.015469936951389764,0.04950086682495253,0.7416666666666667,-0.015469936951389764,-0.04734102660243902,0.017900004279472907,0.018013621480996975,6,2,200,42
W-attn,alpha_0.60,20,0.0,net_return,6,0,-0.015469936951389764,0.04950086682495253,0.7416666666666667,-0.015469936951389764,-0.04734102660243902,0.017900004279472907,0.018013621480996975,6,2,200,42
W-attn,alpha_0.60,20,15.0,gross_return,6,0,-0.015469936951389764,0.04950086682495253,0.7416666666666667,-0.015469936951389764,-0.04734102660243902,0.017900004279472907,0.018013621480996975,6,2,200,42
W-attn,alpha_0.60,20,15.0,net_return,6,0,-0.017694936951389767,0.049203934883361854,0.7416666666666667,-0.017694936951389767,-0.049353839102439,0.015475004279472905,0.01788771878766592,6,2,200,42
W-attn,alpha_0.75,5,0.0,gross_return,6,0,0.01754317637090048,0.02056823664555496,0.7624999999999998,0.01754317637090048,0.0078066243540894364,0.026692411110326122,0.005479152002000193,6,2,200,42
W-attn,alpha_0.75,5,0.0,net_return,6,0,0.01754317637090048,0.02056823664555496,0.7624999999999998,0.01754317637090048,0.0078066243540894364,0.026692411110326122,0.005479152002000193,6,2,200,42
W-attn,alpha_0.75,5,15.0,gross_return,6,0,0.01754317637090048,0.02056823664555496,0.7624999999999998,0.01754317637090048,0.0078066243540894364,0.026692411110326122,0.005479152002000193,6,2,200,42
W-attn,alpha_0.75,5,15.0,net_return,6,0,0.01525567637090048,0.020369704574065995,0.7624999999999998,0.01525567637090048,0.005594124354089437,0.02417897361032613,0.005369199821336508,6,2,200,42
W-attn,alpha_0.75,20,0.0,gross_return,6,0,-0.009205086271871723,0.04888957838736488,0.7624999999999998,-0.009205086271871723,-0.0409365537311783,0.022707952187301424,0.018492202786487687,6,2,200,42
W-attn,alpha_0.75,20,0.0,net_return,6,0,-0.009205086271871723,0.04888957838736488,0.7624999999999998,-0.009205086271871723,-0.0409365537311783,0.022707952187301424,0.018492202786487687,6,2,200,42
W-attn,alpha_0.75,20,15.0,gross_return,6,0,-0.009205086271871723,0.04888957838736488,0.7624999999999998,-0.009205086271871723,-0.0409365537311783,0.022707952187301424,0.018492202786487687,6,2,200,42
W-attn,alpha_0.75,20,15.0,net_return,6,0,-0.011492586271871724,0.04859342432017364,0.7624999999999998,-0.011492586271871724,-0.04309749123117829,0.020231077187301424,0.018378599208533856,6,2,200,42
W-attn,b0_alpha_0.40,5,0.0,gross_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,b0_alpha_0.40,5,0.0,net_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,b0_alpha_0.40,5,15.0,gross_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,b0_alpha_0.40,5,15.0,net_return,6,0,0.011497045317887906,0.016601429343995052,0.725,0.011497045317887906,0.004972542649282532,0.016532527157204057,0.0031582059762183747,6,2,200,42
W-attn,b0_alpha_0.40,20,0.0,gross_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,b0_alpha_0.40,20,0.0,net_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,b0_alpha_0.40,20,15.0,gross_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,b0_alpha_0.40,20,15.0,net_return,6,0,-0.025762447580160348,0.04545774156704504,0.725,-0.025762447580160348,-0.05296231950370638,0.006199980878444502,0.016528368031391513,6,2,200,42
W-attn,gate_V1,5,0.0,gross_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,gate_V1,5,0.0,net_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,gate_V1,5,15.0,gross_return,6,0,0.013672045317887904,0.016652120256577675,0.725,0.013672045317887904,0.007035042649282532,0.018907527157204052,0.0033078474443531624,6,2,200,42
W-attn,gate_V1,5,15.0,net_return,6,0,0.011497045317887906,0.016601429343995052,0.725,0.011497045317887906,0.004972542649282532,0.016532527157204057,0.0031582059762183747,6,2,200,42
W-attn,gate_V1,20,0.0,gross_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,gate_V1,20,0.0,net_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,gate_V1,20,15.0,gross_return,6,0,-0.023587447580160344,0.04570912776500294,0.725,-0.023587447580160344,-0.050998569503706376,0.008537480878444503,0.016634923543110438,6,2,200,42
W-attn,gate_V1,20,15.0,net_return,6,0,-0.025762447580160348,0.04545774156704504,0.725,-0.025762447580160348,-0.05296231950370638,0.006199980878444502,0.016528368031391513,6,2,200,42
