Component,Eigenvalue,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,66.09488557815786,0.08579028164268387,0.08579028164268387
PC2,50.92901697397542,0.06610518607851645,0.15189546772120033
PC3,39.41921271774568,0.05116561336942286,0.20306108109062318
PC4,29.18851015723092,0.03788629763430133,0.2409473787249245
PC5,26.166855244304617,0.03396422978079992,0.27491160850572444
PC6,19.817072777132438,0.02572229666504764,0.3006339051707721
PC7,19.05918265721665,0.024738565378231256,0.32537247054900337
PC8,16.812465857061607,0.021822356879334228,0.34719482742833757
PC9,15.746757959737883,0.020439082215031785,0.36763390964336934
PC10,14.259069302587616,0.01850808214177158,0.3861419917851409
