feature,mean_coefficient,abs_mean_coefficient,std_coefficient,t_statistic,annualized_impact,rank
dim_074,-0.0001450100706654891,0.0001450100706654891,0.0010803233438472397,-3.3108471020998236,-0.036252517666372275,1
dim_171,0.0001271758696097932,0.0001271758696097932,0.0010870541635352984,3.113039499371698,0.0317939674024483,2
dim_747,-0.00012305438719914318,0.00012305438719914318,0.0009876901784999735,-3.2459438568228185,-0.030763596799785794,3
dim_348,-0.00011570257437989405,0.00011570257437989405,0.0010698348372848111,-2.8507179948864017,-0.028925643594973512,4
dim_626,0.0001144113514319601,0.0001144113514319601,0.001116383004993452,2.7708158728861174,0.028602837857990025,5
dim_542,-0.0001137234614744309,0.0001137234614744309,0.0010892120988601904,-2.6005161617318384,-0.028430865368607724,6
dim_654,0.00011278401923214476,0.00011278401923214476,0.0011788826761243254,2.4014994576723203,0.02819600480803619,7
dim_739,0.0001090001630789096,0.0001090001630789096,0.0011483919924337319,2.5440001052593746,0.0272500407697274,8
dim_334,-0.00010738696757693392,0.00010738696757693392,0.0010541080165167628,-2.681706946658959,-0.02684674189423348,9
dim_166,-0.00010236508790531015,0.00010236508790531015,0.0010482638437589397,-2.3886055761640717,-0.02559127197632754,10
dim_478,-0.00010199928291681131,0.00010199928291681131,0.001191855161201146,-2.2297137142489527,-0.02549982072920283,11
dim_711,-9.944664814011394e-05,9.944664814011394e-05,0.0009481319241251068,-2.7719082425364014,-0.024861662035028483,12
dim_633,-9.914764909830838e-05,9.914764909830838e-05,0.0011394483986954045,-2.2392954567417434,-0.024786912274577095,13
dim_325,-9.865320412719882e-05,9.865320412719882e-05,0.0010686341572659099,-2.554189049219566,-0.024663301031799704,14
dim_762,-9.803437234232283e-05,9.803437234232283e-05,0.001131398553393179,-2.1105584188013893,-0.024508593085580708,15
dim_547,-9.71259098334173e-05,9.71259098334173e-05,0.0011062222463785873,-2.2965071622472357,-0.024281477458354322,16
dim_766,9.524675239001294e-05,9.524675239001294e-05,0.000958157645340506,2.6376333930552414,0.023811688097503236,17
dim_430,9.430743921046742e-05,9.430743921046742e-05,0.001140496328708512,2.120410687171675,0.023576859802616857,18
dim_349,-9.420664066562609e-05,9.420664066562609e-05,0.0011278666217902414,-2.0920326893100785,-0.023551660166406523,19
dim_533,-9.412794439957506e-05,9.412794439957506e-05,0.000937807237483406,-2.554855438873176,-0.023531986099893765,20
dim_752,-9.207996455832885e-05,9.207996455832885e-05,0.0011229324083041948,-2.128688870629909,-0.023019991139582214,21
dim_433,-9.143366080737538e-05,9.143366080737538e-05,0.0011912186443987559,-1.988305617847447,-0.022858415201843844,22
dim_381,9.129335942080578e-05,9.129335942080578e-05,0.0010172694658582776,2.487872936868077,0.022823339855201442,23
