code,name,type,category
600519,贵州茅台,stock,白酒
000001,平安银行,stock,银行
300750,宁德时代,stock,新能源
601318,中国平安,stock,保险
600036,招商银行,stock,银行
000858,五粮液,stock,白酒
601012,隆基绿能,stock,新能源
002415,海康威视,stock,科技
600276,恒瑞医药,stock,医药
300059,东方财富,stock,券商
002594,比亚迪,stock,汽车
000021,深科技,stock,科技
688525,佰维存储,stock,科技
300812,易天股份,stock,科技
300196,长海股份,stock,材料
301308,江波龙,stock,存储
001309,德明利,stock,存储
300475,香农芯创,stock,存储
603986,兆易创新,stock,存储
688110,东芯股份,stock,存储
688766,普冉股份,stock,存储
300223,北京君正,stock,存储
001258,立新能源,stock,电力
601398,工商银行,stock,银行
601939,建设银行,stock,银行
601288,农业银行,stock,银行
601988,中国银行,stock,银行
600000,浦发银行,stock,银行
601166,兴业银行,stock,银行
600016,民生银行,stock,银行
601328,交通银行,stock,银行
601658,邮储银行,stock,银行
600030,中信证券,stock,券商
601688,华泰证券,stock,券商
600837,海通证券,stock,券商
601211,国泰君安,stock,券商
601601,中国太保,stock,保险
601628,中国人寿,stock,保险
600887,伊利股份,stock,消费
603288,海天味业,stock,消费
000568,泸州老窖,stock,白酒
000596,古井贡酒,stock,白酒
600809,山西汾酒,stock,白酒
000333,美的集团,stock,家电
000651,格力电器,stock,家电
600690,海尔智家,stock,家电
002230,科大讯飞,stock,科技
688111,金山办公,stock,科技
600570,恒生电子,stock,科技
000725,京东方A,stock,科技
601138,工业富联,stock,科技
000063,中兴通讯,stock,科技
688981,中芯国际,stock,科技
603501,韦尔股份,stock,科技
002371,北方华创,stock,科技
688012,中微公司,stock,科技
688008,澜起科技,stock,科技
688256,寒武纪,stock,科技
688041,海光信息,stock,科技
300274,阳光电源,stock,新能源
600438,通威股份,stock,新能源
002459,晶澳科技,stock,新能源
600900,长江电力,stock,电力
600886,国投电力,stock,电力
601985,中国核电,stock,电力
600905,三峡能源,stock,电力
601633,长城汽车,stock,汽车
000625,长安汽车,stock,汽车
600104,上汽集团,stock,汽车
601238,广汽集团,stock,汽车
300760,迈瑞医疗,stock,医药
300015,爱尔眼科,stock,医药
600196,复星医药,stock,医药
000538,云南白药,stock,医药
603259,药明康德,stock,医药
300122,智飞生物,stock,医药
601899,紫金矿业,stock,资源
600547,山东黄金,stock,资源
601088,中国神华,stock,能源
600028,中国石化,stock,能源
601857,中国石油,stock,能源
600938,中国海油,stock,能源
600031,三一重工,stock,制造
601766,中国中车,stock,制造
601668,中国建筑,stock,基建
600150,中国船舶,stock,制造
601390,中国中铁,stock,基建
601888,中国中免,stock,消费
002352,顺丰控股,stock,物流
601919,中远海控,stock,物流
601111,中国国航,stock,航空
00700,腾讯控股,hk,互联网
09988,阿里巴巴-W,hk,互联网
03690,美团-W,hk,互联网
01810,小米集团-W,hk,科技
00941,中国移动,hk,通信
00762,中国联通,hk,通信
00883,中国海洋石油,hk,能源
00857,中国石油股份,hk,能源
00386,中国石油化工股份,hk,能源
00939,建设银行,hk,银行
03988,中国银行,hk,银行
01398,工商银行,hk,银行
03968,招商银行,hk,银行
02318,中国平安,hk,保险
01299,友邦保险,hk,保险
00388,香港交易所,hk,金融
00005,汇丰控股,hk,银行
00011,恒生银行,hk,银行
00981,中芯国际,hk,科技
01347,华虹半导体,hk,科技
02382,舜宇光学科技,hk,科技
02359,药明康德,hk,医药
02269,药明生物,hk,医药
01801,信达生物,hk,医药
01093,石药集团,hk,医药
01177,中国生物制药,hk,医药
02020,安踏体育,hk,消费
02331,李宁,hk,消费
09961,携程集团-S,hk,互联网
09618,京东集团-SW,hk,互联网
09999,网易-S,hk,互联网
